id,season,country,comp_level,lg_finish,squad,age,minutes_90s,tackles,tackles_won,pressures,pressure_regains,pressure_regain_pct,blocks,blocked_shots,blocked_shots_saves,interceptions,clearances,errors
0000acda,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,10.9,17,10,226,50,22.1,19,2,0,4,13,0
00242715,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,33,56,41,373,122,32.7,54,29,3,31,215,2
00242b75,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,10.4,39,25,243,69,28.4,25,4,0,8,21,0
0076ab7f,2019-2020,ESP,1. La Liga,4th,Sevilla,27,13.5,19,12,137,41,29.9,28,10,0,12,35,0
009a4f60,2019-2020,GER,1. Bundesliga,11th,Union Berlin,21,4.1,8,5,64,22,34.4,9,3,0,5,7,0
00b28772,2019-2020,ESP,1. La Liga,8th,Getafe,24,32.2,53,34,698,206,29.5,47,9,1,40,56,1
01226327,2019-2020,ENG,1. Premier League,11th,Southampton,29,30.5,48,28,385,142,36.9,52,13,0,26,76,1
01834aa0,2019-2020,GER,1. Bundesliga,14th,Köln,20,27.2,48,32,319,111,34.8,44,17,0,25,140,0
01b8a2b2,2019-2020,ITA,1. Serie A,1st,Juventus,29,28.8,0,0,1,0,0,0,0,0,0,2,3
01c3aff5,2019-2020,GER,1. Bundesliga,12th,Schalke 04,20,23,53,35,492,148,30.1,47,14,0,32,70,0
01eb744d,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,22.9,23,15,410,123,30,39,6,0,12,20,0
01efac19,2019-2020,ITA,1. Serie A,18th,Lecce,24,15.2,24,18,306,82,26.8,30,0,0,3,14,0
01efac19,2019-2020,ITA,1. Serie A,13th,Udinese,24,2.2,4,1,79,15,19,6,1,0,0,1,0
02319ad7,2019-2020,ESP,1. La Liga,8th,Getafe,30,30.5,26,12,455,109,24,23,3,0,4,18,0
02b29014,2019-2020,ENG,1. Premier League,19th,Watford,26,35.1,70,49,953,237,24.9,57,9,0,24,46,0
02c15616,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,15.2,33,22,309,98,31.7,30,5,0,6,15,0
02caf6e0,2019-2020,ITA,1. Serie A,4th,Lazio,25,28.3,20,13,243,72,29.6,25,2,1,4,38,0
02ef8778,2019-2020,ESP,1. La Liga,20th,Espanyol,24,11.9,7,5,200,44,22,11,1,0,6,5,0
0313a347,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,22.7,27,18,193,63,32.6,55,23,0,14,83,3
032f894e,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,21,0.1,0,0,1,1,100,0,0,0,1,0,0
0375723e,2019-2020,ITA,1. Serie A,16th,Torino,27,23,19,12,364,95,26.1,19,0,0,6,4,0
03f946ed,2019-2020,ITA,1. Serie A,20th,SPAL,24,33.7,7,4,269,60,22.3,19,8,0,2,25,0
0420d84f,2019-2020,ENG,1. Premier League,12th,Everton,30,20.4,50,31,216,78,36.1,43,10,0,12,56,1
042e8a49,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,16.7,23,15,287,92,32.1,17,0,0,2,4,0
0489bb30,2019-2020,ITA,1. Serie A,9th,Hellas Verona,17,7.6,3,1,127,35,27.6,4,0,0,1,2,0
048a1cbc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,25,25.9,43,29,278,120,43.2,45,3,1,30,25,0
04965583,2019-2020,ESP,1. La Liga,16th,Alavés,29,24.1,23,16,434,98,22.6,36,2,0,14,14,0
04ac8285,2019-2020,ESP,1. La Liga,9th,Valencia,30,23.3,0,0,1,1,100,0,0,0,0,1,0
04e17fd5,2019-2020,ESP,1. La Liga,18th,Leganés,22,15.4,8,5,295,50,16.9,17,2,0,2,19,0
04e17fd5,2019-2020,ESP,1. La Liga,4th,Sevilla,22,8.8,8,6,193,53,27.5,8,2,0,5,7,0
05439de2,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,27.8,27,17,208,80,38.5,40,11,0,11,65,0
054849d2,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,7.5,14,5,169,30,17.8,18,1,0,8,40,0
056d2d95,2019-2020,GER,1. Bundesliga,11th,Union Berlin,32,31.8,80,44,439,136,31,56,11,0,28,142,0
05d548d8,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,28.7,68,47,289,125,43.3,56,20,0,35,177,1
05e19d6a,2019-2020,ITA,1. Serie A,6th,Milan,22,32.3,52,33,589,163,27.7,54,6,0,18,41,1
05f99a4a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,2.8,7,5,84,22,26.2,6,1,0,1,2,0
070a3904,2019-2020,ESP,1. La Liga,20th,Espanyol,25,29.5,48,25,630,153,24.3,33,0,0,20,28,1
0728bebe,2019-2020,ITA,1. Serie A,10th,Fiorentina,22,29.7,74,46,687,184,26.8,53,5,0,25,28,1
0745b37d,2019-2020,ENG,1. Premier League,20th,Norwich City,29,32.1,17,12,602,160,26.6,22,3,0,8,9,0
07767f42,2019-2020,ITA,1. Serie A,8th,Sassuolo,34,15.5,31,19,259,65,25.1,26,6,0,26,19,1
07802f7f,2019-2020,ENG,1. Premier League,11th,Southampton,27,31.2,51,32,859,227,26.4,64,5,0,7,24,0
080440a4,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,30.2,67,47,329,117,35.6,60,20,2,21,154,0
0821331c,2019-2020,ITA,1. Serie A,12th,Bologna,25,24.5,54,33,389,129,33.2,46,17,0,28,172,0
08511d65,2019-2020,ESP,1. La Liga,1st,Real Madrid,33,33.5,60,46,266,102,38.3,39,12,2,31,116,4
08593525,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,23,14.6,41,30,259,83,32,36,8,0,22,36,0
085e71a7,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,31,0,0,1,0,0,0,0,0,0,0,0
088ca1bd,2019-2020,GER,1. Bundesliga,8th,Freiburg,29,31.5,47,31,321,83,25.9,60,9,0,21,89,0
08990838,2019-2020,ITA,1. Serie A,4th,Lazio,23,3.6,3,1,22,9,40.9,10,6,0,2,17,0
08aa9cd1,2019-2020,ITA,1. Serie A,17th,Genoa,20,24.8,21,14,489,100,20.4,27,2,0,5,16,0
08f5afaa,2019-2020,ITA,1. Serie A,6th,Milan,20,35.6,0,0,6,2,33.3,0,0,0,0,1,4
091795f2,2019-2020,ITA,1. Serie A,12th,Bologna,19,1.4,1,1,14,4,28.6,2,2,1,1,9,1
09538fdb,2019-2020,ITA,1. Serie A,13th,Udinese,26,28.5,29,18,630,153,24.3,23,1,0,15,17,1
0959c2a2,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,21.2,36,19,375,93,24.8,43,4,0,17,14,1
099e666f,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,30.2,59,39,406,131,32.3,57,11,1,28,92,1
09a9e921,2019-2020,ESP,1. La Liga,5th,Villarreal,32,7.6,3,1,84,21,25,5,0,0,1,5,0
0a3065c8,2019-2020,ITA,1. Serie A,12th,Bologna,26,11.2,16,10,113,38,33.6,21,1,0,5,27,1
0a3d6d2b,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,19,0.1,0,0,1,0,0,0,0,0,0,0,0
0a3f6cde,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,25,27.4,31,20,484,122,25.2,46,2,0,11,13,0
0a447501,2019-2020,ITA,1. Serie A,17th,Genoa,23,15.4,13,10,308,80,26,14,1,0,3,13,0
0a483542,2019-2020,ITA,1. Serie A,8th,Sassuolo,23,18.3,41,27,271,84,31,30,5,0,8,37,0
0ab1f153,2019-2020,ITA,1. Serie A,1st,Juventus,31,29.5,75,40,347,104,30,51,9,0,24,55,0
0ac94a23,2019-2020,ESP,1. La Liga,9th,Valencia,28,10.3,12,7,173,37,21.4,24,1,0,8,9,0
0ae4e09a,2019-2020,ESP,1. La Liga,12th,Levante,28,25.2,20,11,451,85,18.8,20,2,0,7,16,0
0b33f6ad,2019-2020,ESP,1. La Liga,13th,Valladolid,20,30.3,52,33,235,72,30.6,44,28,1,16,243,4
0b5a292a,2019-2020,ITA,1. Serie A,7th,Napoli,28,21.8,37,25,229,81,35.4,43,6,1,13,46,0
