id,season,country,comp_level,lg_finish,squad,age,games_gk,games_starts_gk,minutes_gk,minutes_90s,goals_against_gk,goals_against_per90_gk,shots_on_target_against,saves,save_pct,clean_sheets,clean_sheets_pct,pens_save_pct
01b8a2b2,2019-2020,ITA,1. Serie A,1st,Juventus,29,29,29,2591,28.8,33,1.15,120,95,79.2,11,37.9,11.1
04ac8285,2019-2020,ESP,1. La Liga,9th,Valencia,30,24,24,2096,23.3,30,1.29,102,78,76.5,5,20.8,25
085e71a7,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,31,31,2790,31,43,1.39,131,94,71.8,8,25.8,25
08f5afaa,2019-2020,ITA,1. Serie A,6th,Milan,20,36,36,3201,35.6,42,1.18,134,97,71.6,12,33.3,50
0d422df7,2019-2020,ITA,1. Serie A,9th,Hellas Verona,28,35,35,3150,35,43,1.23,148,108,75.7,9,25.7,0
0d55d942,2019-2020,GER,1. Bundesliga,8th,Freiburg,27,24,24,2091,23.2,32,1.38,114,83,74.6,4,16.7,0
0dfce079,2019-2020,ITA,1. Serie A,9th,Hellas Verona,23,3,3,270,3,8,2.67,13,7,53.8,1,33.3,0
10072610,2019-2020,ENG,1. Premier League,2nd,Manchester City,36,4,3,347,3.9,7,1.82,15,8,53.3,1,33.3,NULL
10dc46f0,2019-2020,ITA,1. Serie A,16th,Torino,32,36,36,3240,36,64,1.78,189,135,70.9,7,19.4,10
17376543,2019-2020,GER,1. Bundesliga,11th,Union Berlin,31,33,33,2970,33,54,1.64,160,109,68.1,8,24.2,25
1840e36d,2019-2020,ESP,1. La Liga,1st,Real Madrid,27,34,34,3060,34,20,0.59,95,74,78.9,18,52.9,NULL
20b9f052,2019-2020,ITA,1. Serie A,5th,Roma,24,32,32,2880,32,45,1.41,122,83,69.7,5,15.6,11.1
2628fd2b,2019-2020,ENG,1. Premier League,8th,Arsenal,27,30,30,2649,29.4,39,1.33,147,110,77.6,7,23.3,14.3
28a15394,2019-2020,ITA,1. Serie A,16th,Torino,36,1,1,90,1,1,1,5,4,80,0,0,NULL
28d596a0,2019-2020,ENG,1. Premier League,4th,Chelsea,24,33,33,2970,33,47,1.42,99,55,54.5,8,24.2,0
2e7ff968,2019-2020,GER,1. Bundesliga,2nd,Dortmund,31,4,3,290,3.2,1,0.31,7,6,85.7,3,100,NULL
2f965a72,2019-2020,ESP,1. La Liga,1st,Real Madrid,26,4,4,360,4,5,1.25,13,10,76.9,1,25,0
30223b33,2019-2020,ITA,1. Serie A,5th,Roma,36,5,5,450,5,5,1,22,17,81.8,2,40,0
339fe0e8,2019-2020,ITA,1. Serie A,4th,Lazio,24,38,38,3420,38,42,1.11,145,111,75.9,11,28.9,12.5
36c2ca73,2019-2020,ENG,1. Premier League,11th,Southampton,29,28,28,2520,28,35,1.25,110,77,69.1,7,25,50
374ee424,2019-2020,ESP,1. La Liga,6th,Real Sociedad,24,25,25,2250,25,32,1.28,87,62,71.3,6,24,12.5
3a949a25,2019-2020,ENG,1. Premier League,13th,Newcastle Utd,30,38,38,3420,38,58,1.53,190,134,70.5,11,28.9,0
3bb7b8b4,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,35,35,3071,34.1,28,0.82,92,65,72.8,16,45.7,0
3cd9e95a,2019-2020,GER,1. Bundesliga,14th,Köln,26,34,34,3060,34,69,2.03,152,87,57.2,6,17.6,33.3
42130443,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,24,17,17,1530,17,36,2.12,95,61,63.2,2,11.8,50
4535e4bb,2019-2020,ENG,1. Premier League,15th,Brighton,27,38,38,3420,38,54,1.42,164,114,68.3,9,23.7,0
466fb2c5,2019-2020,ENG,1. Premier League,18th,Bournemouth,21,37,37,3330,37,62,1.68,177,120,67.8,5,13.5,16.7
47064058,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,29,30,30,2700,30,49,1.63,143,101,69.2,7,23.3,28.6
4806ec67,2019-2020,ENG,1. Premier League,12th,Everton,25,38,38,3420,38,56,1.47,145,95,63.4,9,23.7,0
4b40d9ca,2019-2020,ENG,1. Premier League,10th,Burnley,27,38,38,3420,38,50,1.32,159,112,71.1,15,39.5,20
4c62d0c8,2019-2020,ITA,1. Serie A,17th,Genoa,26,21,21,1890,21,38,1.81,99,63,62.6,5,23.8,0
53af52f3,2019-2020,ENG,1. Premier League,5th,Leicester City,32,38,38,3420,38,41,1.08,126,95,73.8,13,34.2,20
5c4bf6ba,2019-2020,GER,1. Bundesliga,13th,Mainz 05,24,22,22,1935,21.5,40,1.86,113,75,65.5,3,13.6,50
5dcf3e90,2019-2020,ESP,1. La Liga,11th,Athletic Club,22,34,34,2991,33.2,29,0.87,103,78,76.7,12,35.3,0
605eb473,2019-2020,ESP,1. La Liga,19th,Mallorca,34,36,36,3240,36,60,1.67,164,117,71.3,5,13.9,7.1
62ba5881,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,25,1,1,90,1,2,2,5,3,60,0,0,NULL
649b01d8,2019-2020,ITA,1. Serie A,15th,Sampdoria,22,36,36,3240,36,60,1.67,160,110,66.9,9,25,0
67669ce7,2019-2020,ESP,1. La Liga,7th,Granada,23,3,3,270,3,3,1,13,10,76.9,1,33.3,NULL
67f649be,2019-2020,ITA,1. Serie A,17th,Genoa,22,17,17,1530,17,35,2.06,89,61,67.4,2,11.8,0
6f51e382,2019-2020,ESP,1. La Liga,2nd,Barcelona,27,36,36,3240,36,36,1,110,78,72.7,14,38.9,14.3
73683fa9,2019-2020,ESP,1. La Liga,20th,Espanyol,37,36,36,3232,35.9,58,1.62,153,101,66,4,11.1,14.3
74419746,2019-2020,ITA,1. Serie A,2nd,Inter,35,35,35,3150,35,32,0.91,108,79,72.2,13,37.1,33.3
