id,season,country,comp_level,lg_finish,squad,age,minutes_90s,cards_yellow,cards_red,fouls,fouled,offsides,crosses,aerials_won,aerials_won_pct
0000acda,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,10.9,1,0,25,7,0,12,5,23.8
00242715,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,33,7,0,60,31,1,4,88,67.7
00242b75,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,10.4,4,0,30,23,0,2,16,35.6
0076ab7f,2019-2020,ESP,1. La Liga,4th,Sevilla,27,13.5,6,0,27,21,0,2,20,48.8
009a4f60,2019-2020,GER,1. Bundesliga,11th,Union Berlin,21,4.1,2,0,8,6,0,11,7,46.7
00b28772,2019-2020,ESP,1. La Liga,8th,Getafe,24,32.2,5,0,23,14,1,5,62,44.6
01226327,2019-2020,ENG,1. Premier League,11th,Southampton,29,30.5,3,1,35,35,1,81,66,55
01834aa0,2019-2020,GER,1. Bundesliga,14th,Köln,20,27.2,5,1,43,11,2,5,69,63.3
01b8a2b2,2019-2020,ITA,1. Serie A,1st,Juventus,29,28.8,1,0,1,2,0,0,0,NULL
01c3aff5,2019-2020,GER,1. Bundesliga,12th,Schalke 04,20,23,8,0,42,16,0,13,62,63.9
01eb744d,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,22.9,5,0,28,48,9,28,16,30.2
01efac19,2019-2020,ITA,1. Serie A,18th,Lecce,24,15.2,0,0,18,9,2,17,18,39.1
01efac19,2019-2020,ITA,1. Serie A,13th,Udinese,24,2.2,1,0,9,4,0,2,3,100
02319ad7,2019-2020,ESP,1. La Liga,8th,Getafe,30,30.5,14,0,86,59,38,47,101,42.3
02b29014,2019-2020,ENG,1. Premier League,19th,Watford,26,35.1,9,0,64,22,6,27,53,50
02c15616,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,15.2,4,0,30,22,4,18,15,41.7
02caf6e0,2019-2020,ITA,1. Serie A,4th,Lazio,25,28.3,6,0,23,48,7,119,3,14.3
02ef8778,2019-2020,ESP,1. La Liga,20th,Espanyol,24,11.9,5,0,26,25,7,8,25,33.8
0313a347,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,22.7,3,0,21,35,1,8,48,51.6
032f894e,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,21,0.1,0,0,0,1,0,1,0,NULL
0375723e,2019-2020,ITA,1. Serie A,16th,Torino,27,23,4,0,28,52,2,77,12,32.4
03f946ed,2019-2020,ITA,1. Serie A,20th,SPAL,24,33.7,5,0,58,81,13,31,67,40.9
0420d84f,2019-2020,ENG,1. Premier League,12th,Everton,30,20.4,5,1,21,21,1,34,30,57.7
042e8a49,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,16.7,2,0,11,34,4,75,18,48.6
0489bb30,2019-2020,ITA,1. Serie A,9th,Hellas Verona,17,7.6,0,0,18,14,3,18,22,40
048a1cbc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,25,25.9,3,0,11,21,0,45,10,33.3
04965583,2019-2020,ESP,1. La Liga,16th,Alavés,29,24.1,6,0,19,52,3,57,10,32.3
04ac8285,2019-2020,ESP,1. La Liga,9th,Valencia,30,23.3,1,0,0,6,0,0,0,NULL
04e17fd5,2019-2020,ESP,1. La Liga,18th,Leganés,22,15.4,2,0,21,22,17,12,60,39.7
04e17fd5,2019-2020,ESP,1. La Liga,4th,Sevilla,22,8.8,1,0,16,13,12,5,37,46.8
05439de2,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,27.8,0,0,11,7,1,25,22,44.9
054849d2,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,7.5,0,0,7,5,0,12,10,38.5
056d2d95,2019-2020,GER,1. Bundesliga,11th,Union Berlin,32,31.8,6,0,35,24,1,88,43,55.1
05d548d8,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,28.7,8,1,28,11,2,5,93,71
05e19d6a,2019-2020,ITA,1. Serie A,6th,Milan,22,32.3,3,0,67,25,1,15,19,47.5
05f99a4a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,2.8,0,0,2,6,0,1,3,30
070a3904,2019-2020,ESP,1. La Liga,20th,Espanyol,25,29.5,4,0,46,32,2,19,28,57.1
0728bebe,2019-2020,ITA,1. Serie A,10th,Fiorentina,22,29.7,10,0,69,93,0,31,21,33.9
0745b37d,2019-2020,ENG,1. Premier League,20th,Norwich City,29,32.1,3,0,29,22,17,14,6,10.7
07767f42,2019-2020,ITA,1. Serie A,8th,Sassuolo,34,15.5,5,0,28,39,0,4,15,60
07802f7f,2019-2020,ENG,1. Premier League,11th,Southampton,27,31.2,3,0,42,32,12,32,41,25.8
080440a4,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,30.2,8,0,35,33,2,14,78,60.5
0821331c,2019-2020,ITA,1. Serie A,12th,Bologna,25,24.5,13,1,46,38,1,4,102,61.1
08511d65,2019-2020,ESP,1. La Liga,1st,Real Madrid,33,33.5,10,0,59,29,7,3,66,59.5
08593525,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,23,14.6,4,0,22,16,0,4,17,44.7
085e71a7,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,31,1,0,1,6,0,0,0,NULL
088ca1bd,2019-2020,GER,1. Bundesliga,8th,Freiburg,29,31.5,1,0,16,41,4,59,34,54
08990838,2019-2020,ITA,1. Serie A,4th,Lazio,23,3.6,0,0,3,0,0,0,6,60
08aa9cd1,2019-2020,ITA,1. Serie A,17th,Genoa,20,24.8,1,0,40,52,16,24,66,38.4
08f5afaa,2019-2020,ITA,1. Serie A,6th,Milan,20,35.6,3,0,1,6,0,0,0,NULL
091795f2,2019-2020,ITA,1. Serie A,12th,Bologna,19,1.4,1,0,2,1,0,0,2,50
09538fdb,2019-2020,ITA,1. Serie A,13th,Udinese,26,28.5,1,0,53,37,15,27,41,32.3
0959c2a2,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,21.2,1,0,31,12,0,17,22,59.5
099e666f,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,30.2,5,0,28,13,4,51,31,50.8
09a9e921,2019-2020,ESP,1. La Liga,5th,Villarreal,32,7.6,1,0,7,8,7,3,7,36.8
0a3065c8,2019-2020,ITA,1. Serie A,12th,Bologna,26,11.2,4,0,23,13,3,23,9,45
0a3d6d2b,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,19,0.1,0,0,0,0,0,0,0,NULL
0a3f6cde,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,25,27.4,2,0,20,38,4,47,24,39.3
0a447501,2019-2020,ITA,1. Serie A,17th,Genoa,23,15.4,3,0,23,29,4,11,37,38.9
0a483542,2019-2020,ITA,1. Serie A,8th,Sassuolo,23,18.3,4,0,22,32,2,32,18,42.9
0ab1f153,2019-2020,ITA,1. Serie A,1st,Juventus,31,29.5,7,1,37,87,3,77,17,41.5
0ac94a23,2019-2020,ESP,1. La Liga,9th,Valencia,28,10.3,5,0,27,17,2,40,10,40
0ae4e09a,2019-2020,ESP,1. La Liga,12th,Levante,28,25.2,6,1,62,36,10,23,31,31.6
0b33f6ad,2019-2020,ESP,1. La Liga,13th,Valladolid,20,30.3,4,0,25,14,1,1,75,67.6
0b5a292a,2019-2020,ITA,1. Serie A,7th,Napoli,28,21.8,8,0,22,59,2,83,16,42.1
0b90bb97,2019-2020,ESP,1. La Liga,17th,Celta Vigo,23,21.6,4,0,49,41,11,20,88,44
0ba976e4,2019-2020,ESP,1. La Liga,2nd,Barcelona,16,11.4,2,1,17,22,4,24,6,37.5
0bc4e720,2019-2020,ESP,1. La Liga,9th,Valencia,22,4.6,0,0,5,9,2,3,5,25
0c2ac3cb,2019-2020,ESP,1. La Liga,2nd,Barcelona,26,2.1,0,0,2,11,0,5,0,0
0c2ac3cb,2019-2020,ESP,1. La Liga,17th,Celta Vigo,26,23.5,5,0,48,114,2,26,31,54.4
0c61c77c,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,21,22.6,2,0,27,30,10,44,20,36.4
0cc5f4a5,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,20,1.5,1,0,4,5,1,1,2,28.6
0ccac09c,2019-2020,ITA,1. Serie A,19th,Brescia,26,35.2,5,0,39,81,0,80,43,58.1
0d077b88,2019-2020,ITA,1. Serie A,8th,Sassuolo,27,10.3,7,1,28,16,0,3,12,42.9
0d422df7,2019-2020,ITA,1. Serie A,9th,Hellas Verona,28,35,2,0,0,6,0,0,0,NULL
0d4ceb32,2019-2020,ENG,1. Premier League,10th,Burnley,27,9.1,0,0,3,12,3,5,17,28.8
0d55d942,2019-2020,GER,1. Bundesliga,8th,Freiburg,27,23.2,0,0,0,4,0,0,0,NULL
0d82903c,2019-2020,ITA,1. Serie A,1st,Juventus,28,26.5,4,0,46,49,0,52,34,55.7
0db169ae,2019-2020,ITA,1. Serie A,19th,Brescia,19,33.5,9,0,48,66,0,48,12,38.7
0db5d2c8,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,29,5.5,1,0,8,2,0,0,15,60
0dfce079,2019-2020,ITA,1. Serie A,9th,Hellas Verona,23,3,1,0,1,0,0,0,0,NULL
0e0102eb,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,20,0.9,0,0,2,0,0,1,0,0
0e4fef6e,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,3.7,5,1,6,9,0,1,18,72
0e50f929,2019-2020,ESP,1. La Liga,10th,Osasuna,29,12.9,9,1,20,19,0,14,10,52.6
0e7ccfc4,2019-2020,ESP,1. La Liga,20th,Espanyol,28,3,1,0,5,6,0,9,0,NULL
0ef89a37,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,15.7,0,0,4,30,3,18,6,37.5
0fbecd11,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,16.1,5,1,34,19,1,13,22,36.7
10072610,2019-2020,ENG,1. Premier League,2nd,Manchester City,36,3.9,0,0,0,0,0,0,0,NULL
101da2b5,2019-2020,ENG,1. Premier League,2nd,Manchester City,34,26.6,9,2,29,22,1,3,73,67
1025db8e,2019-2020,GER,1. Bundesliga,15th,Augsburg,28,18.3,5,0,13,6,1,2,29,53.7
106bca06,2019-2020,GER,1. Bundesliga,12th,Schalke 04,25,15.9,3,0,19,20,1,11,6,16.7
10b9fa99,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,18,0.9,0,0,1,0,0,0,3,100
10dc46f0,2019-2020,ITA,1. Serie A,16th,Torino,32,36,4,0,0,3,0,1,0,NULL
10e7f486,2019-2020,ITA,1. Serie A,8th,Sassuolo,21,11.3,6,0,20,18,0,30,9,37.5
111c3236,2019-2020,ENG,1. Premier League,12th,Everton,29,13.2,5,1,20,12,0,4,12,54.5
112521d1,2019-2020,ESP,1. La Liga,20th,Espanyol,21,12.1,3,0,14,19,2,22,9,50
119b9a8e,2019-2020,ENG,1. Premier League,2nd,Manchester City,25,12.2,1,0,10,10,0,0,28,66.7
11b9265b,2019-2020,ESP,1. La Liga,5th,Villarreal,27,16.3,6,0,22,8,0,31,16,48.5
11fd2b75,2019-2020,GER,1. Bundesliga,12th,Schalke 04,26,22.5,4,0,24,22,0,5,57,62
1238a3f9,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,24,10.7,3,0,26,23,6,6,70,52.2
1238a3f9,2019-2020,GER,1. Bundesliga,16th,Werder Bremen,24,5.1,3,0,12,5,5,5,36,53.7
1265a93a,2019-2020,ENG,1. Premier League,4th,Chelsea,19,16.8,1,0,28,26,1,68,35,45.5
1295552e,2019-2020,ITA,1. Serie A,8th,Sassuolo,20,14.1,4,0,24,17,0,22,12,50
129af0db,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,26,23.3,6,1,58,63,37,15,116,53.7
12c50af5,2019-2020,ESP,1. La Liga,17th,Celta Vigo,25,18.1,2,0,24,40,0,40,3,15.8
