id,season,country,comp_level,lg_finish,squad,age,minutes_90s,passes_completed,passes,passes_pct,passes_completed_short,passes_short,passes_pct_short,passes_completed_medium,passes_medium,passes_pct_medium,passes_completed_long,passes_long,passes_pct_long,assists,passes_into_final_third,passes_into_penalty_area,crosses_into_penalty_area
0000acda,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,10.9,262,342,76.6,119,144,82.6,119,143,83.2,20,38,52.6,1,23,10,6
00242715,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,33,1177,1450,81.2,293,327,89.6,604,683,88.4,271,403,67.2,2,91,7,1
00242b75,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,10.4,275,368,74.7,117,144,81.3,117,147,79.6,37,62,59.7,2,27,2,0
0076ab7f,2019-2020,ESP,1. La Liga,4th,Sevilla,27,13.5,614,678,90.6,241,257,93.8,277,294,94.2,84,106,79.2,0,38,3,1
009a4f60,2019-2020,GER,1. Bundesliga,11th,Union Berlin,21,4.1,123,179,68.7,65,78,83.3,48,63,76.2,9,25,36,0,5,3,2
00b28772,2019-2020,ESP,1. La Liga,8th,Getafe,24,32.2,534,730,73.2,235,309,76.1,185,251,73.7,69,102,67.6,0,39,11,2
01226327,2019-2020,ENG,1. Premier League,11th,Southampton,29,30.5,1244,1656,75.1,656,754,87,453,572,79.2,106,240,44.2,1,106,34,16
01834aa0,2019-2020,GER,1. Bundesliga,14th,Köln,20,27.2,995,1214,82,166,191,86.9,559,602,92.9,267,410,65.1,0,66,6,2
01b8a2b2,2019-2020,ITA,1. Serie A,1st,Juventus,29,28.8,656,761,86.2,128,128,100,281,286,98.3,241,339,71.1,0,1,0,0
01c3aff5,2019-2020,GER,1. Bundesliga,12th,Schalke 04,20,23,848,1056,80.3,349,418,83.5,354,418,84.7,126,176,71.6,0,63,14,1
01eb744d,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,22.9,454,603,75.3,279,333,83.8,120,163,73.6,28,57,49.1,6,27,21,2
01efac19,2019-2020,ITA,1. Serie A,18th,Lecce,24,15.2,571,701,81.5,273,307,88.9,220,262,84,59,95,62.1,1,55,14,4
01efac19,2019-2020,ITA,1. Serie A,13th,Udinese,24,2.2,76,104,73.1,45,54,83.3,23,27,85.2,7,15,46.7,0,6,3,0
02319ad7,2019-2020,ESP,1. La Liga,8th,Getafe,30,30.5,508,790,64.3,305,415,73.5,124,203,61.1,48,85,56.5,3,37,21,13
02b29014,2019-2020,ENG,1. Premier League,19th,Watford,26,35.1,1302,1658,78.5,633,757,83.6,503,612,82.2,121,176,68.8,2,120,33,4
02c15616,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,15.2,395,507,77.9,203,241,84.2,143,171,83.6,31,50,62,3,27,10,2
02caf6e0,2019-2020,ITA,1. Serie A,4th,Lazio,25,28.3,845,1067,79.2,451,515,87.6,306,375,81.6,69,120,57.5,3,11,43,22
02ef8778,2019-2020,ESP,1. La Liga,20th,Espanyol,24,11.9,214,271,79,117,134,87.3,67,84,79.8,25,41,61,0,13,7,1
0313a347,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,22.7,674,853,79,226,251,90,327,386,84.7,113,197,57.4,2,45,5,2
032f894e,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,21,0.1,7,8,87.5,3,3,100,4,5,80,0,0,NULL,0,0,0,0
0375723e,2019-2020,ITA,1. Serie A,16th,Torino,27,23,639,904,70.7,296,345,85.8,176,250,70.4,139,253,54.9,6,74,28,10
03f946ed,2019-2020,ITA,1. Serie A,20th,SPAL,24,33.7,644,876,73.5,313,379,82.6,221,303,72.9,95,144,66,1,37,27,3
0420d84f,2019-2020,ENG,1. Premier League,12th,Everton,30,20.4,813,1058,76.8,388,432,89.8,339,429,79,76,143,53.1,1,66,13,4
042e8a49,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,16.7,611,797,76.7,283,341,83,264,328,80.5,59,97,60.8,3,25,34,10
0489bb30,2019-2020,ITA,1. Serie A,9th,Hellas Verona,17,7.6,138,221,62.4,84,119,70.6,39,64,60.9,9,18,50,0,9,8,4
048a1cbc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,25,25.9,1887,2145,88,1038,1115,93.1,657,730,90,144,218,66.1,2,118,38,13
04965583,2019-2020,ESP,1. La Liga,16th,Alavés,29,24.1,611,848,72.1,273,325,84,228,289,78.9,97,190,51.1,4,56,27,13
04ac8285,2019-2020,ESP,1. La Liga,9th,Valencia,30,23.3,474,759,62.5,111,113,98.2,179,180,99.4,178,459,38.8,1,2,0,0
04e17fd5,2019-2020,ESP,1. La Liga,18th,Leganés,22,15.4,163,266,61.3,105,150,70,35,60,58.3,15,31,48.4,2,3,10,3
04e17fd5,2019-2020,ESP,1. La Liga,4th,Sevilla,22,8.8,103,157,65.6,62,77,80.5,30,52,57.7,9,15,60,0,4,1,0
05439de2,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,27.8,2250,2478,90.8,714,759,94.1,1146,1219,94,370,463,79.9,1,294,24,7
054849d2,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,7.5,176,288,61.1,80,104,76.9,68,111,61.3,19,50,38,1,10,2,1
056d2d95,2019-2020,GER,1. Bundesliga,11th,Union Berlin,32,31.8,1069,1549,69,426,477,89.3,419,526,79.7,209,481,43.5,8,56,24,16
05d548d8,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,28.7,1974,2234,88.4,407,445,91.5,1113,1189,93.6,443,576,76.9,3,130,12,1
05e19d6a,2019-2020,ITA,1. Serie A,6th,Milan,22,32.3,1531,1718,89.1,646,708,91.2,703,757,92.9,162,210,77.1,1,141,30,4
05f99a4a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,2.8,40,52,76.9,21,21,100,13,15,86.7,2,5,40,0,2,2,0
070a3904,2019-2020,ESP,1. La Liga,20th,Espanyol,25,29.5,804,1075,74.8,314,384,81.8,331,415,79.8,145,238,60.9,1,120,23,6
0728bebe,2019-2020,ITA,1. Serie A,10th,Fiorentina,22,29.7,922,1141,80.8,452,518,87.3,349,411,84.9,91,143,63.6,2,108,30,5
0745b37d,2019-2020,ENG,1. Premier League,20th,Norwich City,29,32.1,421,522,80.7,263,297,88.6,116,145,80,22,31,71,3,14,6,2
07767f42,2019-2020,ITA,1. Serie A,8th,Sassuolo,34,15.5,1049,1176,89.2,482,510,94.5,414,459,90.2,139,181,76.8,0,98,10,0
07802f7f,2019-2020,ENG,1. Premier League,11th,Southampton,27,31.2,437,678,64.5,245,329,74.5,135,201,67.2,34,89,38.2,2,39,27,7
080440a4,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,26,30.2,1280,1651,77.5,362,427,84.8,667,785,85,241,399,60.4,1,104,9,2
0821331c,2019-2020,ITA,1. Serie A,12th,Bologna,25,24.5,908,1109,81.9,210,241,87.1,484,538,90,208,311,66.9,0,59,2,1
08511d65,2019-2020,ESP,1. La Liga,1st,Real Madrid,33,33.5,1963,2144,91.6,573,613,93.5,924,969,95.4,442,517,85.5,0,174,8,1
08593525,2019-2020,GER,1. Bundesliga,6th,Hoffenheim,23,14.6,480,588,81.6,215,248,86.7,212,243,87.2,44,69,63.8,1,34,8,0
085e71a7,2019-2020,ITA,1. Serie A,10th,Fiorentina,21,31,647,904,71.6,122,122,100,279,283,98.6,238,489,48.7,0,6,0,0
088ca1bd,2019-2020,GER,1. Bundesliga,8th,Freiburg,29,31.5,1178,1555,75.8,476,544,87.5,545,683,79.8,143,275,52,1,85,29,13
08990838,2019-2020,ITA,1. Serie A,4th,Lazio,23,3.6,188,205,91.7,55,58,94.8,86,89,96.6,45,55,81.8,0,11,0,0
08aa9cd1,2019-2020,ITA,1. Serie A,17th,Genoa,20,24.8,440,624,70.5,268,328,81.7,122,192,63.5,28,49,57.1,1,17,7,1
08f5afaa,2019-2020,ITA,1. Serie A,6th,Milan,20,35.6,873,1142,76.4,175,176,99.4,367,370,99.2,328,591,55.5,0,4,0,0
091795f2,2019-2020,ITA,1. Serie A,12th,Bologna,19,1.4,53,59,89.8,18,18,100,23,23,100,11,17,64.7,0,3,0,0
09538fdb,2019-2020,ITA,1. Serie A,13th,Udinese,26,28.5,339,489,69.3,202,249,81.1,105,157,66.9,20,38,52.6,1,14,16,3
0959c2a2,2019-2020,ESP,1. La Liga,1st,Real Madrid,21,21.2,985,1119,88,533,578,92.2,333,373,89.3,96,129,74.4,5,77,17,3
099e666f,2019-2020,GER,1. Bundesliga,12th,Schalke 04,22,30.2,1180,1567,75.3,460,521,88.3,528,674,78.3,178,307,58,3,100,33,10
09a9e921,2019-2020,ESP,1. La Liga,5th,Villarreal,32,7.6,101,133,75.9,64,74,86.5,28,39,71.8,9,13,69.2,1,5,1,0
0a3065c8,2019-2020,ITA,1. Serie A,12th,Bologna,26,11.2,432,545,79.3,189,209,90.4,199,250,79.6,33,56,58.9,0,38,10,7
0a3d6d2b,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,19,0.1,4,4,100,2,2,100,1,1,100,1,1,100,0,0,0,0
0a3f6cde,2019-2020,GER,1. Bundesliga,18th,Paderborn 07,25,27.4,603,846,71.3,291,365,79.7,237,305,77.7,61,124,49.2,2,29,30,8
0a447501,2019-2020,ITA,1. Serie A,17th,Genoa,23,15.4,290,379,76.5,150,185,81.1,92,116,79.3,35,41,85.4,2,22,4,0
0a483542,2019-2020,ITA,1. Serie A,8th,Sassuolo,23,18.3,961,1138,84.4,491,531,92.5,397,452,87.8,65,124,52.4,1,56,16,4
0ab1f153,2019-2020,ITA,1. Serie A,1st,Juventus,31,29.5,2055,2321,88.5,893,953,93.7,928,997,93.1,212,322,65.8,5,171,52,19
0ac94a23,2019-2020,ESP,1. La Liga,9th,Valencia,28,10.3,240,349,68.8,120,155,77.4,93,127,73.2,20,47,42.6,2,14,12,6
0ae4e09a,2019-2020,ESP,1. La Liga,12th,Levante,28,25.2,284,448,63.4,161,208,77.4,84,143,58.7,27,60,45,1,23,15,2
0b33f6ad,2019-2020,ESP,1. La Liga,13th,Valladolid,20,30.3,890,1056,84.3,227,254,89.4,508,546,93,149,239,62.3,1,41,1,1
0b5a292a,2019-2020,ITA,1. Serie A,7th,Napoli,28,21.8,1652,1994,82.8,825,886,93.1,662,758,87.3,138,268,51.5,2,114,47,17
0b90bb97,2019-2020,ESP,1. La Liga,17th,Celta Vigo,23,21.6,500,706,70.8,289,369,78.3,148,223,66.4,34,51,66.7,3,38,18,1
0ba976e4,2019-2020,ESP,1. La Liga,2nd,Barcelona,16,11.4,446,538,82.9,322,358,89.9,98,119,82.4,10,24,41.7,1,14,13,2
0bc4e720,2019-2020,ESP,1. La Liga,9th,Valencia,22,4.6,70,94,74.5,33,39,84.6,28,39,71.8,6,9,66.7,0,8,1,0
0c2ac3cb,2019-2020,ESP,1. La Liga,2nd,Barcelona,26,2.1,142,164,86.6,87,93,93.5,36,41,87.8,17,25,68,0,7,6,2
0c2ac3cb,2019-2020,ESP,1. La Liga,17th,Celta Vigo,26,23.5,1138,1317,86.4,550,612,89.9,430,470,91.5,123,168,73.2,1,93,28,1
0c61c77c,2019-2020,GER,1. Bundesliga,10th,Hertha BSC,21,22.6,480,637,75.4,239,282,84.8,159,212,75,63,102,61.8,6,28,20,8
0cc5f4a5,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,20,1.5,27,37,73,16,24,66.7,7,9,77.8,1,1,100,0,0,1,1
0ccac09c,2019-2020,ITA,1. Serie A,19th,Brescia,26,35.2,1454,1981,73.4,555,637,87.1,701,865,81,165,389,42.4,3,149,54,22
0d077b88,2019-2020,ITA,1. Serie A,8th,Sassuolo,27,10.3,658,758,86.8,309,335,92.2,270,299,90.3,63,100,63,2,58,10,0
0d422df7,2019-2020,ITA,1. Serie A,9th,Hellas Verona,28,35,450,991,45.4,45,46,97.8,158,162,97.5,245,781,31.4,0,11,0,0
0d4ceb32,2019-2020,ENG,1. Premier League,10th,Burnley,27,9.1,102,138,73.9,70,86,81.4,23,35,65.7,1,2,50,1,6,0,0
0d55d942,2019-2020,GER,1. Bundesliga,8th,Freiburg,27,23.2,668,979,68.2,91,91,100,310,314,98.7,266,572,46.5,0,10,0,0
0d82903c,2019-2020,ITA,1. Serie A,1st,Juventus,28,26.5,1699,1973,86.1,710,762,93.2,781,868,90,179,279,64.2,3,112,47,16
0db169ae,2019-2020,ITA,1. Serie A,19th,Brescia,19,33.5,1137,1582,71.9,375,450,83.3,479,587,81.6,269,488,55.1,7,139,26,7
0db5d2c8,2019-2020,GER,1. Bundesliga,17th,Düsseldorf,29,5.5,186,227,81.9,52,59,88.1,96,103,93.2,38,60,63.3,1,4,0,0
0dfce079,2019-2020,ITA,1. Serie A,9th,Hellas Verona,23,3,37,61,60.7,4,4,100,15,15,100,18,42,42.9,0,0,0,0
0e0102eb,2019-2020,GER,1. Bundesliga,7th,Wolfsburg,20,0.9,10,16,62.5,9,12,75,1,2,50,0,1,0,0,0,1,0
0e4fef6e,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,3.7,150,174,86.2,66,74,89.2,62,70,88.6,19,25,76,0,22,1,0
0e50f929,2019-2020,ESP,1. La Liga,10th,Osasuna,29,12.9,581,770,75.5,184,218,84.4,231,299,77.3,158,232,68.1,1,83,10,2
0e7ccfc4,2019-2020,ESP,1. La Liga,20th,Espanyol,28,3,149,186,80.1,63,70,90,73,80,91.3,12,26,46.2,0,6,7,3
0ef89a37,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,15.7,709,867,81.8,355,404,87.9,255,292,87.3,86,137,62.8,6,114,34,1
0fbecd11,2019-2020,GER,1. Bundesliga,9th,Eint Frankfurt,25,16.1,634,787,80.6,298,338,88.2,246,299,82.3,75,114,65.8,3,64,13,2
10072610,2019-2020,ENG,1. Premier League,2nd,Manchester City,36,3.9,101,132,76.5,21,22,95.5,48,48,100,32,62,51.6,0,0,0,0
101da2b5,2019-2020,ENG,1. Premier League,2nd,Manchester City,34,26.6,1985,2190,90.6,523,567,92.2,1078,1141,94.5,372,454,81.9,1,226,11,1
1025db8e,2019-2020,GER,1. Bundesliga,15th,Augsburg,28,18.3,578,755,76.6,149,169,88.2,278,305,91.1,147,264,55.7,1,35,5,0
106bca06,2019-2020,GER,1. Bundesliga,12th,Schalke 04,25,15.9,566,678,83.5,307,345,89,191,221,86.4,45,62,72.6,1,27,5,1
10b9fa99,2019-2020,GER,1. Bundesliga,3rd,RB Leipzig,18,0.9,74,78,94.9,19,20,95,42,44,95.5,10,11,90.9,0,5,0,0
10dc46f0,2019-2020,ITA,1. Serie A,16th,Torino,32,36,820,1162,70.6,94,96,97.9,304,308,98.7,421,756,55.7,0,10,0,0
10e7f486,2019-2020,ITA,1. Serie A,8th,Sassuolo,21,11.3,596,706,84.4,288,318,90.6,249,273,91.2,53,91,58.2,1,48,15,9
111c3236,2019-2020,ENG,1. Premier League,12th,Everton,29,13.2,676,778,86.9,248,269,92.2,295,323,91.3,126,170,74.1,0,61,15,4
112521d1,2019-2020,ESP,1. La Liga,20th,Espanyol,21,12.1,376,492,76.4,161,176,91.5,177,218,81.2,32,73,43.8,0,12,12,5
