id,season,country,comp_level,lg_finish,squad,age,games,mnts,minutes_per_game,minutes_pct,minutes_90s,games_starts,games_complete,games_subs,unused_subs,points_per_match,on_goals_for,on_goals_against,plus_minus,plus_minus_wowy
0000acda,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,18,980,54,28.7,10.9,10,6,8,12,1.5,16,12,4,0.4
00242715,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,33,2970,90,97.1,33,33,33,0,0,1.12,44,57,-13,7.61
00242b75,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,18,938,52,30.7,10.4,11,4,7,14,1.39,12,15,-3,0.48
0076ab7f,2019-2020,ESP,1. La Liga,4th,Sevilla,27,24,1216,51,35.6,13.5,9,9,15,10,2.17,21,12,9,0.22
009a4f60,2019-2020,GER,1. Bundesliga,11th,Union Berlin,21,14,368,26,12,4.1,3,3,11,10,1.43,5,8,-3,-0.27
00b28772,2019-2020,ESP,1. La Liga,8th,Getafe,24,35,2895,83,84.6,32.2,33,28,2,0,1.51,39,31,8,0.59
01226327,2019-2020,ENG,1. Premier League,11th,Southampton,29,32,2742,86,80.2,30.5,31,29,1,2,1.38,43,44,-1,1.03
01834aa0,2019-2020,GER,1. Bundesliga,14th,Köln,20,28,2447,87,80,27.2,28,26,0,1,1.04,38,56,-18,-0.66
01b8a2b2,2019-2020,ITA,1. Serie A,1st,Juventus,29,29,2591,89,75.8,28.8,29,28,0,7,2.1,57,33,24,-0.14
01c3aff5,2019-2020,GER,1. Bundesliga,12th,Schalke 04,20,28,2074,74,67.8,23,24,17,4,0,1.14,26,41,-15,-0.19
01eb744d,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,33,2061,62,60.3,22.9,22,9,11,1,1.79,31,20,11,-0.38
01efac19,2019-2020,ITA,1. Serie A,18th,Lecce,24,16,1369,86,40,15.2,15,15,1,0,1.19,28,37,-9,0.46
01efac19,2019-2020,ITA,1. Serie A,13th,Udinese,24,8,194,24,5.7,2.2,1,0,7,13,0.63,0,3,-3,-1.08
02319ad7,2019-2020,ESP,1. La Liga,8th,Getafe,30,34,2747,81,80.3,30.5,33,18,1,2,1.41,34,23,11,1.03
02b29014,2019-2020,ENG,1. Premier League,19th,Watford,26,37,3156,85,92.3,35.1,36,25,1,0,0.89,33,61,-28,-0.8
02c15616,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,29,1368,47,40,15.2,16,5,13,8,1.97,23,18,5,-0.5
02caf6e0,2019-2020,ITA,1. Serie A,4th,Lazio,25,32,2548,80,74.5,28.3,29,19,3,4,2,52,33,19,-1.19
02ef8778,2019-2020,ESP,1. La Liga,20th,Espanyol,24,14,1075,77,31.4,11.9,11,9,3,0,0.79,7,12,-5,0.58
0313a347,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,25,2039,82,59.6,22.7,24,19,1,13,1.08,23,39,-16,-0.05
032f894e,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,21,1,6,6,0.2,0.1,0,0,1,0,1,0,0,0,-2
0375723e,2019-2020,ITA,1. Serie A,7th,Napoli,27,0,NULL,NULL,NULL,NULL,0,0,0,2,NULL,NULL,NULL,NULL,NULL
0375723e,2019-2020,ITA,1. Serie A,16th,Torino,27,33,2073,63,60.6,23,26,5,7,0,0.91,30,41,-11,0.26
03f946ed,2019-2020,ITA,1. Serie A,20th,SPAL,24,36,3032,84,88.7,33.7,33,30,3,0,0.56,24,62,-38,1.66
0420d84f,2019-2020,ENG,1. Premier League,12th,Everton,30,27,1839,68,53.8,20.4,21,15,6,6,1.3,19,28,-9,-0.27
042e8a49,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,24,1505,63,49.2,16.7,17,8,7,2,2.17,49,18,31,-0.29
0489bb30,2019-2020,ITA,1. Serie A,9th,Hellas Verona,17,17,680,40,19.9,7.6,7,0,10,6,1.06,8,8,0,0.13
048a1cbc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,25,29,2335,81,76.3,25.9,26,18,3,3,1.97,63,29,34,0.19
04965583,2019-2020,ESP,1. La Liga,16th,Alavés,29,29,2165,75,63.3,24.1,26,12,3,1,1.14,25,33,-8,0.89
04ac8285,2019-2020,ESP,1. La Liga,9th,Valencia,30,24,2096,87,61.3,23.3,24,23,0,7,1.54,27,30,-3,0.14
04e17fd5,2019-2020,ESP,1. La Liga,18th,Leganés,22,18,1385,77,40.5,15.4,15,13,3,0,0.61,14,27,-13,-0.49
04e17fd5,2019-2020,ESP,1. La Liga,4th,Sevilla,22,18,796,44,23.3,8.8,7,2,11,1,1.78,13,9,4,-0.1
05439de2,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,28,2498,89,81.6,27.8,27,26,1,3,2.46,86,24,62,1.27
054849d2,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,10,674,67,22,7.5,7,7,3,8,0.8,9,15,-6,-0.35
056d2d95,2019-2020,GER,1. Bundesliga,11th,Union Berlin,32,32,2863,89,93.6,31.8,32,31,0,0,1.19,38,53,-15,0.44
05d548d8,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,31,2581,83,84.3,28.7,31,26,0,0,2,74,36,38,0.39
05e19d6a,2019-2020,ITA,1. Serie A,6th,Milan,22,35,2904,83,84.9,32.3,33,25,2,2,1.86,57,37,20,1.14
05f99a4a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,8,253,32,8.3,2.8,3,0,5,17,1.25,5,4,1,1.06
