id,season,country,comp_level,lg_finish,squad,age,minutes_90s,touches,touches_def_3rd,touches_mid_3rd,touches_att_3rd,touches_att_pen_area,dribbles_completed,dribbles,dribbles_completed_pct,miscontrols,dispossessed,pass_targets
0000acda,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,10.9,449,96,193,195,29,7,13,53.8,9,11,371
00242715,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,33,1835,1016,866,96,28,3,11,27.3,10,6,1106
00242b75,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,10.4,498,121,302,92,9,4,8,50,9,7,272
0076ab7f,2019-2020,ESP,1. La Liga,4th,Sevilla,27,13.5,811,284,505,60,3,11,14,78.6,4,8,570
009a4f60,2019-2020,GER,1. Bundesliga,11th,Union Berlin,21,4.1,227,75,100,65,5,6,9,66.7,5,7,131
00b28772,2019-2020,ESP,1. La Liga,8th,Getafe,24,32.2,988,184,584,259,51,8,14,57.1,19,10,552
01226327,2019-2020,ENG,1. Premier League,11th,Southampton,29,30.5,1984,422,936,739,52,8,26,30.8,28,33,1205
01834aa0,2019-2020,GER,1. Bundesliga,14th,Köln,20,27.2,1496,928,612,54,24,7,11,63.6,5,6,988
01b8a2b2,2019-2020,ITA,1. Serie A,1st,Juventus,29,28.8,830,823,8,0,0,0,0,NULL,0,0,323
01c3aff5,2019-2020,GER,1. Bundesliga,12th,Schalke 04,20,23,1345,408,735,303,50,26,44,59.1,28,24,989
01eb744d,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,22.9,942,133,384,488,139,41,74,55.4,79,61,917
01efac19,2019-2020,ITA,1. Serie A,18th,Lecce,24,15.2,866,215,479,263,39,10,24,41.7,11,19,766
01efac19,2019-2020,ITA,1. Serie A,13th,Udinese,24,2.2,135,20,65,59,3,6,6,100,7,4,114
02319ad7,2019-2020,ESP,1. La Liga,8th,Getafe,30,30.5,1136,71,494,611,139,18,37,48.6,91,54,1632
02b29014,2019-2020,ENG,1. Premier League,19th,Watford,26,35.1,2065,424,1112,662,99,49,78,62.8,43,50,1619
02c15616,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,15.2,676,114,389,208,51,25,33,75.8,19,31,534
02caf6e0,2019-2020,ITA,1. Serie A,4th,Lazio,25,28.3,1295,314,473,644,88,37,73,50.7,31,27,1018
02ef8778,2019-2020,ESP,1. La Liga,20th,Espanyol,24,11.9,434,37,268,163,48,31,48,64.6,35,30,602
0313a347,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,22.7,1067,509,503,106,19,7,11,63.6,5,6,610
032f894e,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,21,0.1,10,1,4,5,1,0,0,NULL,1,0,9
0375723e,2019-2020,ITA,1. Serie A,16th,Torino,27,23,1158,126,568,557,56,52,80,65,36,47,968
03f946ed,2019-2020,ITA,1. Serie A,20th,SPAL,24,33.7,1320,130,602,690,165,57,90,63.3,85,82,1582
0420d84f,2019-2020,ENG,1. Premier League,12th,Everton,30,20.4,1307,434,633,329,30,38,62,61.3,24,17,782
042e8a49,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,16.7,1035,68,388,662,144,60,101,59.4,33,44,1057
0489bb30,2019-2020,ITA,1. Serie A,9th,Hellas Verona,17,7.6,326,20,137,196,44,10,17,58.8,28,24,416
048a1cbc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,25,25.9,2417,606,1340,667,53,49,76,64.5,28,32,1884
04965583,2019-2020,ESP,1. La Liga,16th,Alavés,29,24.1,1078,147,578,448,45,22,50,44,39,23,974
04ac8285,2019-2020,ESP,1. La Liga,9th,Valencia,30,23.3,806,803,4,0,0,0,0,NULL,0,0,290
