id,season,country,comp_level,lg_finish,squad,age,minutes_90s,goals,shots_total,shots_on_target,shots_on_target_pct,shots_total_per90,shots_on_target_per90,goals_per_shot,average_shot_distance,shots_free_kicks,pens_made,pens_att
0000acda,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,10.9,1,21,4,19,1.93,0.37,0.05,18.6,0,0,0
00242715,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,33,1,12,5,41.7,0.36,0.15,0.08,11.6,0,0,0
00242b75,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,10.4,0,7,1,14.3,0.67,0.1,0,20.2,0,0,0
0076ab7f,2019-2020,ESP,1. La Liga,4th,Sevilla,27,13.5,0,7,1,14.3,0.52,0.07,0,25.1,1,0,0
009a4f60,2019-2020,GER,1. Bundesliga,11th,Union Berlin,21,4.1,0,2,0,0,0.49,0,0,14.7,0,0,0
00b28772,2019-2020,ESP,1. La Liga,8th,Getafe,24,32.2,2,32,11,34.4,0.99,0.34,0.06,13.5,0,0,0
01226327,2019-2020,ENG,1. Premier League,11th,Southampton,29,30.5,1,19,4,21.1,0.62,0.13,0.05,19.7,1,0,0
01834aa0,2019-2020,GER,1. Bundesliga,14th,Köln,20,27.2,6,18,7,38.9,0.66,0.26,0.33,7.1,0,0,0
01c3aff5,2019-2020,GER,1. Bundesliga,12th,Schalke 04,20,23,3,32,7,21.9,1.39,0.3,0.09,17.3,0,0,0
01eb744d,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,22.9,5,44,17,38.6,1.92,0.74,0.11,15.1,1,0,0
01efac19,2019-2020,ITA,1. Serie A,18th,Lecce,24,15.2,2,34,13,38.2,2.24,0.85,0.06,15.8,0,0,0
01efac19,2019-2020,ITA,1. Serie A,13th,Udinese,24,2.2,0,4,2,50,1.86,0.93,0,23.9,0,0,0
02319ad7,2019-2020,ESP,1. La Liga,8th,Getafe,30,30.5,11,51,20,39.2,1.67,0.66,0.16,13.8,0,3,4
02b29014,2019-2020,ENG,1. Premier League,19th,Watford,26,35.1,4,62,12,19.4,1.77,0.34,0.06,16.7,0,0,0
02c15616,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,15.2,3,14,5,35.7,0.92,0.33,0.21,17.2,0,0,0
02caf6e0,2019-2020,ITA,1. Serie A,4th,Lazio,25,28.3,0,16,9,56.3,0.57,0.32,0,18.4,1,0,0
02ef8778,2019-2020,ESP,1. La Liga,20th,Espanyol,24,11.9,4,33,14,42.4,2.76,1.17,0.09,19.9,3,1,1
0313a347,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,22.7,1,11,4,36.4,0.49,0.18,0.09,11.7,0,0,0
032f894e,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,21,0.1,0,0,0,NULL,0,0,NULL,NULL,0,0,0
0375723e,2019-2020,ITA,1. Serie A,16th,Torino,27,23,2,54,14,25.9,2.34,0.61,0.04,21.8,11,0,0
03f946ed,2019-2020,ITA,1. Serie A,20th,SPAL,24,33.7,12,104,25,24,3.09,0.74,0.07,17.5,2,5,7
0420d84f,2019-2020,ENG,1. Premier League,12th,Everton,30,20.4,0,8,3,37.5,0.39,0.15,0,16.3,0,0,0
042e8a49,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,16.7,4,37,15,40.5,2.21,0.9,0.11,17.3,0,0,0
0489bb30,2019-2020,ITA,1. Serie A,9th,Hellas Verona,17,7.6,1,22,7,31.8,2.91,0.93,0.05,16.2,0,0,0
048a1cbc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,25,25.9,8,40,15,37.5,1.54,0.58,0.2,19.6,7,0,0
04965583,2019-2020,ESP,1. La Liga,16th,Alavés,29,24.1,2,22,9,40.9,0.91,0.37,0.09,19.6,4,0,0
04e17fd5,2019-2020,ESP,1. La Liga,18th,Leganés,22,15.4,4,39,18,46.2,2.53,1.17,0.1,14.5,0,0,0
04e17fd5,2019-2020,ESP,1. La Liga,4th,Sevilla,22,8.8,4,21,8,38.1,2.37,0.9,0.19,10.9,0,0,0
05439de2,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,27,27.8,1,18,7,38.9,0.65,0.25,0.06,25.6,6,0,0
054849d2,2019-2020,GER,1. Bundesliga,15th,Augsburg,22,7.5,1,2,1,50,0.27,0.13,0.5,9.5,0,0,0
056d2d95,2019-2020,GER,1. Bundesliga,11th,Union Berlin,32,31.8,0,5,3,60,0.16,0.09,0,23.8,0,0,0
05d548d8,2019-2020,GER,1. Bundesliga,2nd,Dortmund,30,28.7,1,23,4,17.4,0.8,0.14,0.04,9.1,0,0,0
05e19d6a,2019-2020,ITA,1. Serie A,6th,Milan,22,32.3,4,37,11,29.7,1.15,0.34,0.05,17.9,0,2,2
05f99a4a,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,2.8,1,7,2,28.6,2.49,0.71,0.14,15.4,0,0,0
070a3904,2019-2020,ESP,1. La Liga,20th,Espanyol,25,29.5,2,52,9,17.3,1.76,0.3,0.04,23.6,0,0,0
0728bebe,2019-2020,ITA,1. Serie A,10th,Fiorentina,22,29.7,3,48,11,22.9,1.62,0.37,0.06,18.2,1,0,0
0745b37d,2019-2020,ENG,1. Premier League,20th,Norwich City,29,32.1,11,80,32,40,2.49,1,0.11,15,0,2,2
07767f42,2019-2020,ITA,1. Serie A,8th,Sassuolo,34,15.5,0,9,0,0,0.58,0,0,25.7,0,0,0
07802f7f,2019-2020,ENG,1. Premier League,11th,Southampton,27,31.2,22,90,35,38.9,2.89,1.12,0.23,13.5,0,1,2
