id,season,country,comp_level,lg_finish,squad,age,games,games_starts,mnts,minutes_90s,goals,assists,goals_pens,pens_made,pens_att,cards_yellow,cards_red,goals_per90,assists_per90,goals_assists_per90,goals_pens_per90
0000acda,2019-2020,ITA,1. Serie A,10th,Fiorentina,24,18,10,980,10.9,1,1,1,0,0,1,0,0.09,0.09,0.18,0.09
00242715,2019-2020,GER,1. Bundesliga,13th,Mainz 05,23,33,33,2970,33,1,2,1,0,0,7,0,0.03,0.06,0.09,0.03
00242b75,2019-2020,GER,1. Bundesliga,13th,Mainz 05,19,18,11,938,10.4,0,2,0,0,0,4,0,0,0.19,0.19,0
0076ab7f,2019-2020,ESP,1. La Liga,4th,Sevilla,27,24,9,1216,13.5,0,0,0,0,0,6,0,0,0,0,0
009a4f60,2019-2020,GER,1. Bundesliga,11th,Union Berlin,21,14,3,368,4.1,0,0,0,0,0,2,0,0,0,0,0
00b28772,2019-2020,ESP,1. La Liga,8th,Getafe,24,35,33,2895,32.2,2,0,2,0,0,5,0,0.06,0,0.06,0.06
01226327,2019-2020,ENG,1. Premier League,11th,Southampton,29,32,31,2742,30.5,1,1,1,0,0,3,1,0.03,0.03,0.07,0.03
01834aa0,2019-2020,GER,1. Bundesliga,14th,Köln,20,28,28,2447,27.2,6,0,6,0,0,5,1,0.22,0,0.22,0.22
01b8a2b2,2019-2020,ITA,1. Serie A,1st,Juventus,29,29,29,2591,28.8,0,0,0,0,0,1,0,0,0,0,0
01c3aff5,2019-2020,GER,1. Bundesliga,12th,Schalke 04,20,28,24,2074,23,3,0,3,0,0,8,0,0.13,0,0.13,0.13
01eb744d,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,33,22,2061,22.9,5,6,5,0,0,5,0,0.22,0.26,0.48,0.22
01efac19,2019-2020,ITA,1. Serie A,18th,Lecce,24,16,15,1369,15.2,2,1,2,0,0,0,0,0.13,0.07,0.2,0.13
01efac19,2019-2020,ITA,1. Serie A,13th,Udinese,24,8,1,194,2.2,0,0,0,0,0,1,0,0,0,0,0
02319ad7,2019-2020,ESP,1. La Liga,8th,Getafe,30,34,33,2747,30.5,11,3,8,3,4,14,0,0.36,0.1,0.46,0.26
02b29014,2019-2020,ENG,1. Premier League,19th,Watford,26,37,36,3156,35.1,4,2,4,0,0,9,0,0.11,0.06,0.17,0.11
02c15616,2019-2020,ESP,1. La Liga,3rd,Atlético Madrid,24,29,16,1368,15.2,3,3,3,0,0,4,0,0.2,0.2,0.39,0.2
02caf6e0,2019-2020,ITA,1. Serie A,4th,Lazio,25,32,29,2548,28.3,0,3,0,0,0,6,0,0,0.11,0.11,0
02ef8778,2019-2020,ESP,1. La Liga,20th,Espanyol,24,14,11,1075,11.9,4,0,3,1,1,5,0,0.33,0,0.33,0.25
0313a347,2019-2020,ENG,1. Premier League,17th,Aston Villa,21,25,24,2039,22.7,1,2,1,0,0,3,0,0.04,0.09,0.13,0.04
032f894e,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,21,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0
0375723e,2019-2020,ITA,1. Serie A,7th,Napoli,27,0,0,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
0375723e,2019-2020,ITA,1. Serie A,16th,Torino,27,33,26,2073,23,2,6,2,0,0,4,0,0.09,0.26,0.35,0.09
03f946ed,2019-2020,ITA,1. Serie A,20th,SPAL,24,36,33,3032,33.7,12,1,7,5,7,5,0,0.36,0.03,0.39,0.21
0420d84f,2019-2020,ENG,1. Premier League,12th,Everton,30,27,21,1839,20.4,0,1,0,0,0,5,1,0,0.05,0.05,0
042e8a49,2019-2020,GER,1. Bundesliga,1st,Bayern Munich,23,24,17,1505,16.7,4,3,4,0,0,2,0,0.24,0.18,0.42,0.24
0489bb30,2019-2020,ITA,1. Serie A,9th,Hellas Verona,17,17,7,680,7.6,1,0,1,0,0,0,0,0.13,0,0.13,0.13
048a1cbc,2019-2020,GER,1. Bundesliga,2nd,Dortmund,25,29,26,2335,25.9,8,2,8,0,0,3,0,0.31,0.08,0.39,0.31
04965583,2019-2020,ESP,1. La Liga,16th,Alavés,29,29,26,2165,24.1,2,4,2,0,0,6,0,0.08,0.17,0.25,0.08
04ac8285,2019-2020,ESP,1. La Liga,9th,Valencia,30,24,24,2096,23.3,0,1,0,0,0,1,0,0,0.04,0.04,0
