Name,Position,Club,Division,Nation,Height,Weight,Age,Preferred_Foot,Best_Pos,Best_Role,Value,Wage,CA,PA,Wor,Vis,Tec,Tea,Tck,Str,Sta,TRO,Ref,Pen,Pas,Pac,v1,OtB,Mar,L_Th,Lon,Ldr,Jum,Hea,Han,Fla,Fir,Fin,Dri,Cro,Cor,Cnt,Cmd,Agi,Agg,Aer,Acc
Lionel Messi,"AM (RC), ST (C)",Barcelona,Spanish First Division,ARG,170,72,32,Left,AM (R),IF,73000000,1200000,195,200,7,20,20,14,7,9,13,3,1,17,20,15,1,16,4,4,17,14,6,10,2,20,19,20,20,15,15,13,2,19,7,2,18
Cristiano Ronaldo,"AM (RL), ST (C)",Juventus,Italian Serie A,POR,185,83,34,Either,ST (C),CF,31000000,950000,195,196,10,14,17,10,8,16,15,3,2,20,15,16,1,18,4,3,19,17,17,19,3,18,17,19,15,15,13,16,1,13,6,2,15
Manuel Neuer,GK,FC Bayern,Bundesliga,GER,192,90,33,Either,GK,SK,44000000,250000,176,193,14,12,12,18,3,16,10,20,14,10,13,10,1,1,3,3,3,13,15,10,14,6,13,3,3,2,10,15,17,15,8,14,13
Erling Haaland,ST (C),Borussia Dortmund,Bundesliga,NOR,194,87,18,Left,ST (C),AF,67000000,135000,166,189,13,13,14,11,7,17,13,2,4,17,12,18,1,18,6,5,12,12,15,12,4,16,16,18,13,9,7,13,3,14,13,3,15
Kevin De Bruyne,"M (RLC), AM (C)",Man City,English Premier Division,BEL,181,70,27,Either,M (C),MEZ,88000000,230000,188,188,15,20,17,14,9,13,17,2,3,12,19,14,1,15,7,8,16,12,9,6,2,15,16,16,15,19,15,15,2,13,12,2,15
Luis Suárez,"AM (RLC), ST (C)",A. Madrid,Spanish First Division,URU,182,86,32,Right,ST (C),DLF,55000000,245000,180,188,16,16,17,15,10,13,15,3,3,12,16,14,1,17,8,8,16,15,13,14,3,18,16,18,15,15,13,15,1,14,17,3,14
Gianluigi Buffon,GK,Juventus,Italian Serie A,ITA,192,92,41,Right Only,GK,SK,3100000,38000,156,187,12,7,7,17,2,13,7,18,15,4,10,6,1,5,2,1,3,20,15,1,14,12,9,3,1,1,1,16,20,7,5,14,6
Gareth Bale,"M (L), AM (RLC), ST (C)",Tottenham,English Premier Division,WAL,185,82,29,Left,AM (L),W,75000000,525000,173,186,10,13,16,10,9,17,17,3,1,13,14,17,1,18,6,15,19,9,15,18,2,17,14,17,16,16,14,11,2,13,11,2,14
Antoine Griezmann,"AM (RLC), ST (C)",Barcelona,Spanish First Division,FRA,175,71,28,Left,ST (C),AF,75000000,550000,171,185,14,16,17,12,11,10,13,3,3,13,15,14,1,18,5,4,14,14,9,15,4,17,17,17,16,16,14,12,3,15,13,2,15
Eden Hazard,AM (RLC),R. Madrid,Spanish First Division,BEL,173,76,28,Either,AM (L),IW,75000000,525000,175,185,12,16,18,9,4,11,16,3,2,19,16,15,1,15,3,5,11,6,8,7,3,18,17,15,20,13,12,13,2,17,8,3,16
Harry Kane,"AM (C), ST (C)",Tottenham,English Premier Division,ENG,188,86,25,Either,ST (C),DLF,77000000,200000,183,185,18,18,16,18,11,14,17,2,3,20,18,12,1,16,10,6,16,15,13,15,3,12,14,19,13,16,9,15,1,12,11,2,13
Zlatan Ibrahimovic,ST (C),Milan,Italian Serie A,SWE,195,95,37,Either,ST (C),DLF,5250000,180000,145,185,7,16,18,10,6,18,10,3,2,18,15,10,1,14,6,8,16,17,18,16,3,19,18,16,11,12,6,15,2,12,16,1,6
Mohamed Salah,"AM (RL), ST (C)",Liverpool,English Premier Division,EGY,175,72,27,Left,AM (R),IF,79000000,200000,179,184,14,16,16,14,7,14,14,2,3,14,14,18,1,18,8,4,13,10,7,10,1,15,15,18,16,14,14,15,2,16,10,3,18
Robert Lewandowski,ST (C),FC Bayern,Bundesliga,POL,184,78,30,Right,ST (C),PF,80000000,325000,184,184,18,13,16,16,7,16,19,3,1,19,13,13,1,17,6,5,12,12,14,16,3,13,18,19,13,10,7,15,2,13,18,1,14
Sadio Mané,"AM (RL), ST (C)",Liverpool,English Premier Division,SEN,175,69,27,Right,AM (L),IF,79000000,180000,179,184,14,15,16,14,7,12,14,1,1,10,14,18,1,16,11,3,13,9,11,13,3,17,17,17,16,14,7,16,2,16,10,2,18
Virgil van Dijk,D (C),Liverpool,English Premier Division,NED,193,92,27,Right,D (C),BPD,65000000,180000,180,184,12,14,14,14,17,17,14,1,2,7,16,16,1,8,16,6,7,16,17,18,1,12,15,8,13,5,3,17,2,12,17,1,16
