playerDefensiveAbilityId,birthId,organizationId,tackles,tacklesWon,cards_yellow,cards_red
496,424,0,5,3,0,0
495,424,0,19,15,0,0
1130,490,1,41,20,2,0
813,568,1,18,15,2,0
760,113,1,60,41,10,1
731,80,1,2,2,1,0
730,80,1,4,2,1,0
633,401,1,31,21,6,0
528,481,1,17,14,5,0
390,336,1,28,16,1,0
358,627,1,37,23,6,0
322,167,1,50,33,9,0
129,3,1,48,32,5,0
69,83,1,33,21,6,0
39,499,1,3,1,1,0
1146,428,2,26,20,3,0
1125,668,2,74,50,6,1
1057,60,2,0,0,0,0
1047,467,2,8,5,0,0
1046,676,2,6,3,0,0
837,140,2,19,11,2,0
826,658,2,39,18,4,1
766,88,2,9,4,3,0
728,539,2,30,19,2,0
532,169,2,7,2,6,0
478,616,2,24,16,1,0
437,234,2,43,29,4,0
377,211,2,55,31,2,0
374,615,2,18,13,3,0
364,528,2,33,22,4,1
357,494,2,4,3,1,0
232,86,2,9,4,0,2
201,252,2,47,30,3,0
1120,671,3,20,12,4,0
434,439,3,2,1,1,0
202,512,3,19,11,6,0
46,606,3,52,33,4,0
1123,133,4,26,16,1,0
1059,486,4,41,24,3,0
1036,150,4,1,0,0,0
878,59,4,37,18,4,0
838,350,4,22,17,2,0
742,137,4,0,0,0,0
543,226,4,36,23,2,0
472,407,4,35,23,5,1
439,109,4,54,31,2,0
407,32,4,72,45,9,0
368,270,4,18,9,1,1
367,270,4,0,0,1,1
213,334,4,8,5,0,0
199,178,4,19,8,3,0
174,621,4,0,0,1,0
155,198,4,30,20,0,0
54,104,4,0,0,0,0
32,322,4,47,31,1,0
1062,294,5,25,11,2,0
931,176,5,9,8,2,0
861,275,5,15,12,10,0
1126,576,6,10,5,1,0
1124,610,6,24,15,2,0
1094,329,6,24,18,3,0
933,69,6,26,18,1,0
897,42,6,15,5,6,1
594,468,6,4,3,0,0
593,468,6,7,4,0,0
572,453,6,8,7,0,0
470,305,6,14,10,0,0
469,305,6,9,6,0,0
462,608,6,35,24,8,0
423,437,6,46,24,3,0
386,509,6,61,35,8,0
382,571,6,5,2,0,0
250,74,6,1,1,0,0
148,348,6,4,3,0,0
62,233,6,34,25,5,0
21,19,6,14,5,0,0
1068,446,7,34,24,2,1
1007,345,7,23,17,1,0
1006,345,7,14,10,1,0
885,454,7,63,28,7,0
877,105,7,22,13,4,0
789,299,7,6,4,3,1
788,299,7,12,9,3,1
779,499,7,37,17,5,0
778,499,7,16,10,5,0
636,105,7,0,0,4,0
510,218,7,29,21,9,0
162,465,7,47,27,10,0
100,485,7,40,26,4,0
78,154,7,25,16,2,0
48,238,7,14,8,4,0
1061,224,8,15,7,2,0
1045,670,8,16,11,3,0
916,611,8,72,37,4,0
915,226,8,59,31,5,0
791,120,8,64,46,2,0
694,181,8,23,18,0,0
693,181,8,4,3,0,0
592,468,8,4,3,2,0
591,468,8,7,4,2,0
186,141,8,56,36,4,0
70,578,8,66,41,4,0
63,551,8,31,22,3,0
4,504,8,53,35,8,0
1142,564,9,30,17,1,0
1070,622,9,72,46,6,1
982,644,9,13,7,2,0
963,411,9,17,12,3,0
887,507,9,0,0,0,0
734,10,9,32,26,1,0
567,249,9,9,4,6,0
541,147,9,0,0,0,0
375,446,9,13,9,3,1
373,446,9,79,54,5,0
355,439,9,65,45,13,0
347,538,9,33,18,7,0
334,114,9,12,9,2,0
141,352,9,49,28,2,0
77,446,9,19,15,6,1
7,446,9,33,22,4,0
5,382,9,23,15,5,0
1132,380,10,4,3,0,0
1121,339,10,48,31,8,1
1073,275,10,56,39,4,0
921,153,10,51,26,3,0
874,300,10,6,5,1,0
811,463,10,23,11,2,0
547,214,10,30,18,2,0
527,578,10,51,34,0,0
508,33,10,20,13,4,1
482,193,10,122,68,1,0
443,443,10,125,76,6,0
378,260,10,57,40,2,0
361,664,10,0,0,2,0
284,122,10,17,11,2,0
276,31,10,8,5,1,0
246,547,10,22,12,0,0
1127,149,11,68,45,8,0
908,379,11,50,28,5,0
863,595,11,41,26,3,0
614,577,11,36,18,8,0
457,130,11,43,20,3,0
453,443,11,27,14,0,0
445,462,11,5,4,0,0
387,122,11,15,11,9,0
304,661,11,0,0,2,0
127,274,11,17,8,1,0
108,430,11,87,39,6,0
103,413,11,32,24,6,0
67,660,11,29,11,5,1
1134,72,12,43,29,5,0
1108,643,12,17,13,8,1
912,89,12,39,25,5,0
905,482,12,0,0,0,1
900,492,12,41,27,5,0
834,599,12,17,9,1,0
833,599,12,10,4,1,0
805,205,12,15,11,2,0
669,8,12,28,14,3,0
639,142,12,10,6,0,0
638,142,12,1,1,0,0
579,135,12,4,3,1,0
483,188,12,38,21,9,1
436,194,12,41,31,11,0
415,173,12,11,4,2,0
414,487,12,1,1,0,0
413,487,12,12,8,0,0
359,157,12,19,9,3,0
281,460,12,34,20,6,0
279,364,12,28,17,4,0
216,487,12,19,13,5,0
184,323,12,9,8,4,1
1030,582,13,1,1,1,0
1029,582,13,18,9,1,0
1002,64,13,35,23,3,0
