offensiveAbilityId,birthId,roleId,playerOrganizationId,goals,shotsTotal,shotsOnTarget,pensMade
0,398,6,617,1,11,5,0
1,139,35,678,0,1,0,0
1,139,35,717,0,4,0,0
2,391,10,401,4,23,10,0
3,377,14,759,2,8,3,0
4,450,79,115,8,78,27,0
5,100,10,0,3,17,5,0
6,443,16,730,1,23,9,0
7,259,86,677,1,11,3,0
8,281,55,740,7,72,27,1
9,317,10,70,15,88,35,0
10,140,6,239,2,11,3,0
11,161,48,455,2,4,4,0
12,172,11,369,0,15,5,0
13,501,35,506,0,6,1,0
14,413,2,501,0,5,0,0
15,250,16,958,8,53,20,0
16,511,3,847,1,8,2,0
17,273,6,348,1,20,3,0
18,180,115,454,1,16,4,0
19,246,19,778,0,0,0,0
20,456,75,588,1,22,6,0
21,500,19,8,0,0,0,0
22,17,14,59,0,16,3,0
23,195,11,63,0,2,0,0
24,487,26,291,0,15,5,0
25,90,14,904,6,35,15,0
25,90,14,91,0,16,7,0
26,363,3,867,1,50,7,0
27,318,18,306,1,18,7,0
28,83,5,882,0,9,3,0
29,325,10,50,12,54,22,1
29,325,10,137,0,2,0,0
30,73,5,519,2,14,6,0
31,659,10,509,4,28,12,0
32,356,30,130,1,1,1,0
33,483,11,196,0,0,0,0
34,483,70,715,7,56,18,0
35,42,53,315,1,15,4,0
36,189,0,582,1,16,4,0
37,566,10,262,11,96,29,5
38,587,62,19,2,14,4,0
39,163,64,651,0,7,2,0
40,612,14,502,4,34,11,0
41,451,23,393,2,22,3,0
42,135,11,87,0,0,0,0
43,215,88,266,0,10,1,0
44,109,6,695,0,2,0,0
45,218,14,212,14,78,31,5
46,374,21,816,1,23,5,0
47,577,11,787,1,17,5,0
48,261,4,681,0,2,0,0
49,219,10,534,3,18,6,0
50,494,17,344,1,17,6,0
51,506,61,692,3,12,6,0
52,274,8,760,2,28,10,0
53,511,39,157,1,13,2,0
54,136,8,126,8,32,11,2
55,627,30,864,2,9,2,0
56,249,14,199,6,64,18,0
57,130,6,222,2,30,10,0
58,444,86,663,2,19,7,0
59,225,10,896,10,53,26,0
60,244,30,76,1,4,1,0
61,122,10,279,23,87,38,4
62,87,3,654,4,10,1,3
63,88,35,94,1,22,5,0
64,572,8,179,11,73,30,1
65,403,26,218,1,4,2,0
66,351,6,131,0,3,0,0
67,664,10,381,5,33,10,0
68,156,24,671,1,1,1,0
69,146,53,373,1,13,8,0
69,146,53,303,6,40,16,0
70,540,11,503,1,10,5,0
71,487,14,607,3,41,11,2
72,334,26,516,0,3,1,0
73,269,5,504,0,7,1,0
74,364,76,324,2,28,8,0
75,129,10,838,14,64,28,1
76,494,14,311,3,9,4,0
77,531,84,526,0,18,5,0
78,6,8,5,5,26,12,0
79,496,100,751,1,10,2,0
80,253,54,602,5,42,13,0
81,66,74,702,0,10,2,0
82,204,33,362,10,90,34,1
83,25,11,168,0,1,1,0
83,25,11,313,1,12,4,0
84,169,10,314,7,47,18,1
85,296,17,936,1,4,2,0
86,401,2,946,2,24,9,1
87,493,15,435,1,12,2,0
88,403,125,206,2,18,5,0
89,352,39,209,0,3,0,0
90,260,77,703,3,54,13,0
91,280,17,152,0,10,5,0
92,372,2,366,0,29,6,0
93,557,14,552,1,11,2,0
94,95,19,648,1,18,3,0
95,381,5,694,1,19,4,0
96,494,14,656,4,39,14,0
97,21,10,633,12,85,30,0
98,69,10,14,13,75,38,1
99,500,4,145,0,2,0,0
99,500,4,963,0,0,0,0
100,133,10,686,11,55,20,1
101,151,84,964,0,17,1,0
102,446,19,384,2,29,7,0
103,76,3,458,1,28,9,0
104,633,38,203,5,37,16,0
105,564,32,514,0,6,2,0
106,509,10,122,11,81,28,1
107,650,7,938,0,0,0,0
108,120,2,88,7,37,15,0
109,385,61,92,0,10,3,0
110,382,14,517,9,68,27,0
111,71,61,416,4,21,7,0
112,107,23,475,0,5,0,0
113,73,77,947,4,36,15,0
114,73,16,949,4,37,12,0
115,373,5,431,1,14,3,0
116,518,5,411,0,5,0,0
117,395,5,667,0,9,3,0
118,70,30,254,1,27,4,0
119,598,6,821,0,7,1,0
