squad,comp,id
Norwich City,1. Premier League,0
Villarreal,1. La Liga,1
Leverkusen,1. Bundesliga,2
Valladolid,1. La Liga,3
Freiburg,1. Bundesliga,4
Bournemouth,1. Premier League,5
Augsburg,1. Bundesliga,6
Celta Vigo,1. La Liga,7
Schalke 04,1. Bundesliga,8
Atlético Madrid,1. La Liga,9
Leicester City,1. Premier League,10
Everton,1. Premier League,11
Inter,1. Serie A,12
Bologna,1. Serie A,13
Sevilla,1. La Liga,14
Sassuolo,1. Serie A,15
Arsenal,1. Premier League,16
Hellas Verona,1. Serie A,17
Granada,1. La Liga,18
Union Berlin,1. Bundesliga,19
Milan,1. Serie A,20
Crystal Palace,1. Premier League,21
Levante,1. La Liga,22
Leganés,1. La Liga,23
Brescia,1. Serie A,24
Atalanta,1. Serie A,25
Wolves,1. Premier League,26
Parma,1. Serie A,27
RB Leipzig,1. Bundesliga,28
Wolfsburg,1. Bundesliga,29
Newcastle Utd,1. Premier League,30
Osasuna,1. La Liga,31
Alavés,1. La Liga,32
Eibar,1. La Liga,33
Southampton,1. Premier League,34
Liverpool,1. Premier League,35
Fiorentina,1. Serie A,36
Napoli,1. Serie A,37
Athletic Club,1. La Liga,38
West Ham,1. Premier League,39
Mallorca,1. La Liga,40
Cagliari,1. Serie A,41
Roma,1. Serie A,42
Dortmund,1. Bundesliga,43
Torino,1. Serie A,44
Watford,1. Premier League,45
Eint Frankfurt,1. Bundesliga,46
Sampdoria,1. Serie A,47
Udinese,1. Serie A,48
Lazio,1. Serie A,49
Hertha BSC,1. Bundesliga,50
Brighton,1. Premier League,51
Werder Bremen,1. Bundesliga,52
SPAL,1. Serie A,53
Mainz 05,1. Bundesliga,54
Espanyol,1. La Liga,55
Chelsea,1. Premier League,56
Barcelona,1. La Liga,57
Genoa,1. Serie A,58
Tottenham,1. Premier League,59
Düsseldorf,1. Bundesliga,60
Betis,1. La Liga,61
Juventus,1. Serie A,62
Köln,1. Bundesliga,63
Valencia,1. La Liga,64
Real Madrid,1. La Liga,65
Burnley,1. Premier League,66
Getafe,1. La Liga,67
Sheffield Utd,1. Premier League,68
Real Sociedad,1. La Liga,69
Aston Villa,1. Premier League,70
Hoffenheim,1. Bundesliga,71
Manchester Utd,1. Premier League,72
Bayern Munich,1. Bundesliga,73
Manchester City,1. Premier League,74
