player,squad,comp,id
Asier Villalibre,Athletic Club,1. La Liga,0
Daley Sinkgraven,Leverkusen,1. Bundesliga,1
Marco Richter,Augsburg,1. Bundesliga,2
Moussa Djenepo,Southampton,1. Premier League,3
Mads Pedersen,Augsburg,1. Bundesliga,4
Andriy Yarmolenko,West Ham,1. Premier League,5
Julian Ryerson,Union Berlin,1. Bundesliga,6
Néstor Araujo,Celta Vigo,1. La Liga,7
Tyrick Mitchell,Crystal Palace,1. Premier League,8
Simone Zaza,Torino,1. Serie A,9
Gonçalo Paciência,Eint Frankfurt,1. Bundesliga,10
Jon Moncayola,Osasuna,1. La Liga,11
Ashley Young,Inter,1. Serie A,12
Valon Behrami,Genoa,1. Serie A,13
Florian Niederlechner,Augsburg,1. Bundesliga,14
Mattia Zaccagni,Hellas Verona,1. Serie A,15
Wendell,Leverkusen,1. Bundesliga,16
Andrea Ranocchia,Inter,1. Serie A,17
Carlos Bacca,Villarreal,1. La Liga,18
Moussa Sissoko,Tottenham,1. Premier League,19
Curtis Jones,Liverpool,1. Premier League,20
Renan Lodi,Atlético Madrid,1. La Liga,21
Jeremie Boga,Sassuolo,1. Serie A,22
Nicolas Höfler,Freiburg,1. Bundesliga,23
José Campaña,Levante,1. La Liga,24
Eduard Löwen,Augsburg,1. Bundesliga,25
Eddie Nketiah,Arsenal,1. Premier League,26
Dani Olmo,RB Leipzig,1. Bundesliga,27
Olivier Giroud,Chelsea,1. Premier League,28
Vincenzo Grifo,Hoffenheim,1. Bundesliga,29
Diogo Jota,Wolves,1. Premier League,30
Thomas Lemar,Atlético Madrid,1. La Liga,31
Thomas Partey,Atlético Madrid,1. La Liga,32
Charles Aránguiz,Leverkusen,1. Bundesliga,33
Ruben Vargas,Augsburg,1. Bundesliga,34
Emiliano Martínez,Arsenal,1. Premier League,35
Isaac Hayden,Newcastle Utd,1. Premier League,36
Aleksandar Kolarov,Roma,1. Serie A,37
Mats Hummels,Dortmund,1. Bundesliga,38
Domingos Duarte,Granada,1. La Liga,39
Ondrej Duda,Norwich City,1. Premier League,40
Isco,Real Madrid,1. La Liga,41
Admir Mehmedi,Wolfsburg,1. Bundesliga,42
Richarlison,Everton,1. Premier League,43
Matteo Politano,Inter,1. Serie A,44
Jean-Philippe Gbamin,Everton,1. Premier League,45
Jorge Miramón,Levante,1. La Liga,46
Christopher Lenz,Union Berlin,1. Bundesliga,47
Lorenzo De Silvestri,Torino,1. Serie A,48
Takumi Minamino,Liverpool,1. Premier League,49
André Silva,Eint Frankfurt,1. Bundesliga,50
José Callejón,Napoli,1. Serie A,51
Stefan Ilsanker,RB Leipzig,1. Bundesliga,52
John Guidetti,Alavés,1. La Liga,53
Kieran Tierney,Arsenal,1. Premier League,54
Paulo Otávio,Wolfsburg,1. Bundesliga,55
Adnan Januzaj,Real Sociedad,1. La Liga,56
Paolo Faragò,Cagliari,1. Serie A,57
Felipe Caicedo,Lazio,1. Serie A,58
Aitor Ruibal,Leganés,1. La Liga,59
Leonardo Pavoletti,Cagliari,1. Serie A,60
Christian Pulisic,Chelsea,1. Premier League,61
Javier Pastore,Roma,1. Serie A,62
Raoul Bellanova,Atalanta,1. Serie A,63
João Moutinho,Wolves,1. Premier League,64
Denis Cheryshev,Valencia,1. La Liga,65
Sandro Tonali,Brescia,1. Serie A,66
Rodrigo De Paul,Udinese,1. Serie A,67
Jordi Alba,Barcelona,1. La Liga,68
Andrea Masiello,Atalanta,1. Serie A,69
Tammy Abraham,Chelsea,1. Premier League,70
Brahim Díaz,Real Madrid,1. La Liga,71
Kevin Agudelo,Fiorentina,1. Serie A,72
Suso,Sevilla,1. La Liga,73
Alexis Mac Allister,Brighton,1. Premier League,74
Bukayo Saka,Arsenal,1. Premier League,75
Aymeric Laporte,Manchester City,1. Premier League,76
Moi Gómez,Villarreal,1. La Liga,77
Matteo Politano,Napoli,1. Serie A,78
Armando Izzo,Torino,1. Serie A,79
Cristiano Biraghi,Inter,1. Serie A,80
Marc Albrighton,Leicester City,1. Premier League,81
Lucas Hernández,Bayern Munich,1. Bundesliga,82
Hugo Mallo,Celta Vigo,1. La Liga,83
Ryan Fraser,Bournemouth,1. Premier League,84
Ezri Konsa,Aston Villa,1. Premier League,85
Edmond Tapsoba,Leverkusen,1. Bundesliga,86
Lucien Agoume,Inter,1. Serie A,87
Suat Serdar,Schalke 04,1. Bundesliga,88
Timothy Chandler,Eint Frankfurt,1. Bundesliga,89
Fabian Schär,Newcastle Utd,1. Premier League,90
Matheus Cunha,RB Leipzig,1. Bundesliga,91
Aïssa Mandi,Betis,1. La Liga,92
Dani García,Athletic Club,1. La Liga,93
Jules Koundé,Sevilla,1. La Liga,94
Kingsley Coman,Bayern Munich,1. Bundesliga,95
Sargis Adamyan,Hoffenheim,1. Bundesliga,96
João Pedro,Cagliari,1. Serie A,97
Nicola Murru,Sampdoria,1. Serie A,98
Nemanja Gudelj,Sevilla,1. La Liga,99
Youssef En-Nesyri,Sevilla,1. La Liga,100
Reece James,Chelsea,1. Premier League,101
Alphonse Areola,Real Madrid,1. La Liga,102
Fernando,Sevilla,1. La Liga,103
Kevin Agudelo,Genoa,1. Serie A,104
Eden Hazard,Real Madrid,1. La Liga,105
Martin Hinteregger,Eint Frankfurt,1. Bundesliga,106
Rogério,Sassuolo,1. Serie A,107
Davie Selke,Hertha BSC,1. Bundesliga,108
Felipe,Atlético Madrid,1. La Liga,109
Amadou Diawara,Roma,1. Serie A,110
Dominik Kohr,Eint Frankfurt,1. Bundesliga,111
Jamal Musiala,Bayern Munich,1. Bundesliga,112
Hugo Duro,Getafe,1. La Liga,113
Harvey Barnes,Leicester City,1. Premier League,114
Ruslan Malinovskyi,Atalanta,1. Serie A,115
Asier Illarramendi,Real Sociedad,1. La Liga,116
Dan-Axel Zagadou,Dortmund,1. Bundesliga,117
Nordi Mukiele,RB Leipzig,1. Bundesliga,118
Dodi Lukebakio,Hertha BSC,1. Bundesliga,119
Ken Sema,Udinese,1. Serie A,120
Patrik Schick,RB Leipzig,1. Bundesliga,121
Joselu,Alavés,1. La Liga,122
Kyle Walker,Manchester City,1. Premier League,123
Stefan de Vrij,Inter,1. Serie A,124
Thibaut Courtois,Real Madrid,1. La Liga,125
Joaquín,Betis,1. La Liga,126
Florian Lejeune,Newcastle Utd,1. Premier League,127
Marcos Llorente,Atlético Madrid,1. La Liga,128
Amir Rrahmani,Hellas Verona,1. Serie A,129
Julian Chabot,Sampdoria,1. Serie A,130
Sergi Gómez,Sevilla,1. La Liga,131
Antonio Puertas,Granada,1. La Liga,132
Eddie Salcedo,Hellas Verona,1. Serie A,133
Japhet Tanganga,Tottenham,1. Premier League,134
Aleix Vidal,Alavés,1. La Liga,135
Alex Oxlade-Chamberlain,Liverpool,1. Premier League,136
André Silva,Milan,1. Serie A,137
Miguel Almirón,Newcastle Utd,1. Premier League,138
Hirving Lozano,Napoli,1. Serie A,139
Riccardo Calafiori,Roma,1. Serie A,140
Dan Burn,Brighton,1. Premier League,141
Jesús Vallejo,Wolves,1. Premier League,142
Yangel Herrera,Granada,1. La Liga,143
Naby Keïta,Liverpool,1. Premier League,144
Tariq Lamptey,Brighton,1. Premier League,145
Rodrigo Becão,Udinese,1. Serie A,146
Guido Rodríguez,Betis,1. La Liga,147
Sebastian Andersson,Union Berlin,1. Bundesliga,148
Lucas Torró,Eint Frankfurt,1. Bundesliga,149
Mason Holgate,Everton,1. Premier League,150
Clément Lenglet,Barcelona,1. La Liga,151
Luke Shaw,Manchester Utd,1. Premier League,152
Emerson,Betis,1. La Liga,153
Ainsley Maitland-Niles,Arsenal,1. Premier League,154
Gaetano Castrovilli,Fiorentina,1. Serie A,155
Robin Gosens,Atalanta,1. Serie A,156
Davide Calabria,Milan,1. Serie A,157
Danilo,Juventus,1. Serie A,158
Rubén Sobrino,Valencia,1. La Liga,159
Mitchell Weiser,Leverkusen,1. Bundesliga,160
Paolo Ghiglione,Genoa,1. Serie A,161
Brais Méndez,Celta Vigo,1. La Liga,162
Stanislav Lobotka,Celta Vigo,1. La Liga,163
Lukas Kübler,Freiburg,1. Bundesliga,164
Tyler Adams,RB Leipzig,1. Bundesliga,165
Leander Dendoncker,Wolves,1. Premier League,166
Matteo Lovato,Hellas Verona,1. Serie A,167
Carles Aleñá,Barcelona,1. La Liga,168
Eduard Löwen,Hertha BSC,1. Bundesliga,169
Alfreð Finnbogason,Augsburg,1. Bundesliga,170
Sebastian Walukiewicz,Cagliari,1. Serie A,171
Marco Reus,Dortmund,1. Bundesliga,172
Aaron Cresswell,West Ham,1. Premier League,173
Maximilian Arnold,Wolfsburg,1. Bundesliga,174
Simone Verdi,Torino,1. Serie A,175
Marwin Hitz,Dortmund,1. Bundesliga,176
Gerard Deulofeu,Watford,1. Premier League,177
Jarrod Bowen,West Ham,1. Premier League,178
Riyad Mahrez,Manchester City,1. Premier League,179
Gianmarco Cangiano,Bologna,1. Serie A,180
Kelechi Iheanacho,Leicester City,1. Premier League,181
Dean Henderson,Sheffield Utd,1. Premier League,182
Benjamin Mendy,Manchester City,1. Premier League,183
Keinan Davis,Aston Villa,1. Premier League,184
Nathan Aké,Bournemouth,1. Premier League,185
Patric,Lazio,1. Serie A,186
Riccardo Gagliolo,Parma,1. Serie A,187
Joe Gomez,Liverpool,1. Premier League,188
Dedryck Boyata,Hertha BSC,1. Bundesliga,189
Florian Kainz,Köln,1. Bundesliga,190
Mark Uth,Köln,1. Bundesliga,191
Matt Ritchie,Newcastle Utd,1. Premier League,192
Adrien Rabiot,Juventus,1. Serie A,193
Joe Willock,Arsenal,1. Premier League,194
Arne Maier,Hertha BSC,1. Bundesliga,195
Darko Churlinov,Köln,1. Bundesliga,196
Jonny Evans,Leicester City,1. Premier League,197
Cristiano Piccini,Valencia,1. La Liga,198
João Félix,Atlético Madrid,1. La Liga,199
Mattias Svanberg,Bologna,1. Serie A,200
Matt Doherty,Wolves,1. Premier League,201
Alexander Isak,Real Sociedad,1. La Liga,202
Roberto Soriano,Bologna,1. Serie A,203
Gareth Bale,Real Madrid,1. La Liga,204
Luke Thomas,Leicester City,1. Premier League,205
Carlos Soler,Valencia,1. La Liga,206
Ishak Belfodil,Hoffenheim,1. Bundesliga,207
Andrea Pinamonti,Genoa,1. Serie A,208
Kieran Trippier,Atlético Madrid,1. La Liga,209
Shkodran Mustafi,Arsenal,1. Premier League,210
Arturo Vidal,Barcelona,1. La Liga,211
Iago Aspas,Celta Vigo,1. La Liga,212
Mark Uth,Schalke 04,1. Bundesliga,213
Jeison Murillo,Sampdoria,1. Serie A,214
Sebastian Rode,Eint Frankfurt,1. Bundesliga,215
Aaron Connolly,Brighton,1. Premier League,216
Germán Valera,Atlético Madrid,1. La Liga,217
Toni Lato,Osasuna,1. La Liga,218
Sergio Canales,Betis,1. La Liga,219
Christian Benteke,Crystal Palace,1. Premier League,220
Kevin Mbabu,Wolfsburg,1. Bundesliga,221
Yerry Mina,Everton,1. Premier League,222
Pablo Fornals,West Ham,1. Premier League,223
Amadou Haidara,RB Leipzig,1. Bundesliga,224
