player,squad,comp,id
Bernd Leno,Arsenal,1. Premier League,0
Hugo Lloris,Tottenham,1. Premier League,1
Emiliano Martínez,Arsenal,1. Premier League,2
Willy Caballero,Chelsea,1. Premier League,3
Alphonse Areola,Real Madrid,1. La Liga,4
Andreas Luthe,Augsburg,1. Bundesliga,5
Thibaut Courtois,Real Madrid,1. La Liga,6
Jed Steer,Aston Villa,1. Premier League,7
David Soria,Getafe,1. La Liga,8
Pepe Reina,Milan,1. Serie A,9
Daniele Padelli,Inter,1. Serie A,10
Daniel Fuzato,Roma,1. Serie A,11
Marwin Hitz,Dortmund,1. Bundesliga,12
Dean Henderson,Sheffield Utd,1. Premier League,13
Aaron Ramsdale,Bournemouth,1. Premier League,14
Joel Robles,Betis,1. La Liga,15
Mattia Perin,Genoa,1. Serie A,16
Thomas Strakosha,Lazio,1. Serie A,17
Philipp Pentke,Hoffenheim,1. Bundesliga,18
Marco Silvestri,Hellas Verona,1. Serie A,19
Emil Audero,Sampdoria,1. Serie A,20
David Ospina,Napoli,1. Serie A,21
Samir Ujkani,Torino,1. Serie A,22
Jan Oblak,Atlético Madrid,1. La Liga,23
Pavao Pervan,Wolfsburg,1. Bundesliga,24
Adrián,Liverpool,1. Premier League,25
Nick Pope,Burnley,1. Premier League,26
Rui Patrício,Wolves,1. Premier League,27
Aitor Fernández,Levante,1. La Liga,28
Mark Flekken,Freiburg,1. Bundesliga,29
Kasper Schmeichel,Leicester City,1. Premier League,30
Fernando Pacheco,Alavés,1. La Liga,31
Frederik Rønnow,Eint Frankfurt,1. Bundesliga,32
Jasper Cillessen,Valencia,1. La Liga,33
Alexander Schwolow,Freiburg,1. Bundesliga,34
Antonio Mirante,Roma,1. Serie A,35
Alex Meret,Napoli,1. Serie A,36
Koen Casteels,Wolfsburg,1. Bundesliga,37
Marco Sportiello,Atalanta,1. Serie A,38
Yassine Bounou,Sevilla,1. La Liga,39
Gianluigi Donnarumma,Milan,1. Serie A,40
Andrea Consigli,Sassuolo,1. Serie A,41
Tom Heaton,Aston Villa,1. Premier League,42
Antonio Rosati,Torino,1. Serie A,43
Wayne Hennessey,Crystal Palace,1. Premier League,44
Florian Müller,Mainz 05,1. Bundesliga,45
Antonio Sivera,Alavés,1. La Liga,46
Pierluigi Gollini,Atalanta,1. Serie A,47
Francesco Rossi,Atalanta,1. Serie A,48
Timo Horn,Köln,1. Bundesliga,49
Péter Gulácsi,RB Leipzig,1. Bundesliga,50
Jordan Pickford,Everton,1. Premier League,51
Vicente Guaita,Crystal Palace,1. Premier League,52
Pietro Terracciano,Fiorentina,1. Serie A,53
Alisson,Liverpool,1. Premier League,54
Sergio Herrera,Osasuna,1. La Liga,55
Pau López,Roma,1. Serie A,56
Kepa Arrizabalaga,Chelsea,1. Premier League,57
Alessio Cragno,Cagliari,1. Serie A,58
Alex McCarthy,Southampton,1. Premier League,59
Juan Musso,Udinese,1. Serie A,60
Kevin Trapp,Eint Frankfurt,1. Bundesliga,61
Pepe Reina,Aston Villa,1. Premier League,62
Alexander Nübel,Schalke 04,1. Bundesliga,63
Oliver Baumann,Hoffenheim,1. Bundesliga,64
Sergio Asenjo,Villarreal,1. La Liga,65
Gianluca Pegolo,Sassuolo,1. Serie A,66
Manuel Neuer,Bayern Munich,1. Bundesliga,67
Juan Pérez,Osasuna,1. La Liga,68
Zack Steffen,Düsseldorf,1. Bundesliga,69
Marc-André ter Stegen,Barcelona,1. La Liga,70
Unai Simón,Athletic Club,1. La Liga,71
Robin Zentner,Mainz 05,1. Bundesliga,72
Salvatore Sirigu,Torino,1. Serie A,73
Neto,Barcelona,1. La Liga,74
Rui Silva,Granada,1. La Liga,75
Mathew Ryan,Brighton,1. Premier League,76
Ederson,Manchester City,1. Premier League,77
Rubén Blanco,Celta Vigo,1. La Liga,78
Wladimiro Falcone,Sampdoria,1. Serie A,79
Álex Remiro,Real Sociedad,1. La Liga,80
Asier Villalibre,Athletic Club,1. La Liga,81
Daley Sinkgraven,Leverkusen,1. Bundesliga,82
Marco Richter,Augsburg,1. Bundesliga,83
Moussa Djenepo,Southampton,1. Premier League,84
Mads Pedersen,Augsburg,1. Bundesliga,85
Andriy Yarmolenko,West Ham,1. Premier League,86
Julian Ryerson,Union Berlin,1. Bundesliga,87
Néstor Araujo,Celta Vigo,1. La Liga,88
Tyrick Mitchell,Crystal Palace,1. Premier League,89
Simone Zaza,Torino,1. Serie A,90
Gonçalo Paciência,Eint Frankfurt,1. Bundesliga,91
Jon Moncayola,Osasuna,1. La Liga,92
Ashley Young,Inter,1. Serie A,93
Valon Behrami,Genoa,1. Serie A,94
Florian Niederlechner,Augsburg,1. Bundesliga,95
Mattia Zaccagni,Hellas Verona,1. Serie A,96
Wendell,Leverkusen,1. Bundesliga,97
Andrea Ranocchia,Inter,1. Serie A,98
Carlos Bacca,Villarreal,1. La Liga,99
Moussa Sissoko,Tottenham,1. Premier League,100
Curtis Jones,Liverpool,1. Premier League,101
Renan Lodi,Atlético Madrid,1. La Liga,102
Jeremie Boga,Sassuolo,1. Serie A,103
Nicolas Höfler,Freiburg,1. Bundesliga,104
José Campaña,Levante,1. La Liga,105
Eduard Löwen,Augsburg,1. Bundesliga,106
Eddie Nketiah,Arsenal,1. Premier League,107
Dani Olmo,RB Leipzig,1. Bundesliga,108
Olivier Giroud,Chelsea,1. Premier League,109
Vincenzo Grifo,Hoffenheim,1. Bundesliga,110
Diogo Jota,Wolves,1. Premier League,111
Thomas Lemar,Atlético Madrid,1. La Liga,112
Thomas Partey,Atlético Madrid,1. La Liga,113
Charles Aránguiz,Leverkusen,1. Bundesliga,114
Ruben Vargas,Augsburg,1. Bundesliga,115
Isaac Hayden,Newcastle Utd,1. Premier League,116
Aleksandar Kolarov,Roma,1. Serie A,117
Mats Hummels,Dortmund,1. Bundesliga,118
Domingos Duarte,Granada,1. La Liga,119
Ondrej Duda,Norwich City,1. Premier League,120
Isco,Real Madrid,1. La Liga,121
Admir Mehmedi,Wolfsburg,1. Bundesliga,122
Richarlison,Everton,1. Premier League,123
Matteo Politano,Inter,1. Serie A,124
Jean-Philippe Gbamin,Everton,1. Premier League,125
Jorge Miramón,Levante,1. La Liga,126
Christopher Lenz,Union Berlin,1. Bundesliga,127
Lorenzo De Silvestri,Torino,1. Serie A,128
Takumi Minamino,Liverpool,1. Premier League,129
André Silva,Eint Frankfurt,1. Bundesliga,130
José Callejón,Napoli,1. Serie A,131
Stefan Ilsanker,RB Leipzig,1. Bundesliga,132
John Guidetti,Alavés,1. La Liga,133
Kieran Tierney,Arsenal,1. Premier League,134
Paulo Otávio,Wolfsburg,1. Bundesliga,135
Adnan Januzaj,Real Sociedad,1. La Liga,136
Paolo Faragò,Cagliari,1. Serie A,137
Felipe Caicedo,Lazio,1. Serie A,138
Aitor Ruibal,Leganés,1. La Liga,139
Leonardo Pavoletti,Cagliari,1. Serie A,140
Christian Pulisic,Chelsea,1. Premier League,141
Javier Pastore,Roma,1. Serie A,142
Raoul Bellanova,Atalanta,1. Serie A,143
João Moutinho,Wolves,1. Premier League,144
Denis Cheryshev,Valencia,1. La Liga,145
Sandro Tonali,Brescia,1. Serie A,146
Rodrigo De Paul,Udinese,1. Serie A,147
Jordi Alba,Barcelona,1. La Liga,148
Andrea Masiello,Atalanta,1. Serie A,149
Tammy Abraham,Chelsea,1. Premier League,150
Brahim Díaz,Real Madrid,1. La Liga,151
Kevin Agudelo,Fiorentina,1. Serie A,152
Suso,Sevilla,1. La Liga,153
Alexis Mac Allister,Brighton,1. Premier League,154
Bukayo Saka,Arsenal,1. Premier League,155
Aymeric Laporte,Manchester City,1. Premier League,156
Moi Gómez,Villarreal,1. La Liga,157
Matteo Politano,Napoli,1. Serie A,158
Armando Izzo,Torino,1. Serie A,159
Cristiano Biraghi,Inter,1. Serie A,160
Marc Albrighton,Leicester City,1. Premier League,161
Lucas Hernández,Bayern Munich,1. Bundesliga,162
Hugo Mallo,Celta Vigo,1. La Liga,163
Ryan Fraser,Bournemouth,1. Premier League,164
Ezri Konsa,Aston Villa,1. Premier League,165
Edmond Tapsoba,Leverkusen,1. Bundesliga,166
Lucien Agoume,Inter,1. Serie A,167
Suat Serdar,Schalke 04,1. Bundesliga,168
Timothy Chandler,Eint Frankfurt,1. Bundesliga,169
Fabian Schär,Newcastle Utd,1. Premier League,170
Matheus Cunha,RB Leipzig,1. Bundesliga,171
Aïssa Mandi,Betis,1. La Liga,172
Dani García,Athletic Club,1. La Liga,173
Jules Koundé,Sevilla,1. La Liga,174
Kingsley Coman,Bayern Munich,1. Bundesliga,175
Sargis Adamyan,Hoffenheim,1. Bundesliga,176
João Pedro,Cagliari,1. Serie A,177
Nicola Murru,Sampdoria,1. Serie A,178
Nemanja Gudelj,Sevilla,1. La Liga,179
Youssef En-Nesyri,Sevilla,1. La Liga,180
Reece James,Chelsea,1. Premier League,181
Fernando,Sevilla,1. La Liga,182
Kevin Agudelo,Genoa,1. Serie A,183
Eden Hazard,Real Madrid,1. La Liga,184
Martin Hinteregger,Eint Frankfurt,1. Bundesliga,185
Rogério,Sassuolo,1. Serie A,186
Davie Selke,Hertha BSC,1. Bundesliga,187
Felipe,Atlético Madrid,1. La Liga,188
Amadou Diawara,Roma,1. Serie A,189
Dominik Kohr,Eint Frankfurt,1. Bundesliga,190
Jamal Musiala,Bayern Munich,1. Bundesliga,191
Hugo Duro,Getafe,1. La Liga,192
Harvey Barnes,Leicester City,1. Premier League,193
Ruslan Malinovskyi,Atalanta,1. Serie A,194
Asier Illarramendi,Real Sociedad,1. La Liga,195
Dan-Axel Zagadou,Dortmund,1. Bundesliga,196
Nordi Mukiele,RB Leipzig,1. Bundesliga,197
Dodi Lukebakio,Hertha BSC,1. Bundesliga,198
Ken Sema,Udinese,1. Serie A,199
Patrik Schick,RB Leipzig,1. Bundesliga,200
Joselu,Alavés,1. La Liga,201
Kyle Walker,Manchester City,1. Premier League,202
Stefan de Vrij,Inter,1. Serie A,203
Joaquín,Betis,1. La Liga,204
Florian Lejeune,Newcastle Utd,1. Premier League,205
Marcos Llorente,Atlético Madrid,1. La Liga,206
Amir Rrahmani,Hellas Verona,1. Serie A,207
Julian Chabot,Sampdoria,1. Serie A,208
Sergi Gómez,Sevilla,1. La Liga,209
Antonio Puertas,Granada,1. La Liga,210
Eddie Salcedo,Hellas Verona,1. Serie A,211
Japhet Tanganga,Tottenham,1. Premier League,212
Aleix Vidal,Alavés,1. La Liga,213
Alex Oxlade-Chamberlain,Liverpool,1. Premier League,214
André Silva,Milan,1. Serie A,215
Miguel Almirón,Newcastle Utd,1. Premier League,216
Hirving Lozano,Napoli,1. Serie A,217
Riccardo Calafiori,Roma,1. Serie A,218
Dan Burn,Brighton,1. Premier League,219
Jesús Vallejo,Wolves,1. Premier League,220
Yangel Herrera,Granada,1. La Liga,221
Naby Keïta,Liverpool,1. Premier League,222
Tariq Lamptey,Brighton,1. Premier League,223
Rodrigo Becão,Udinese,1. Serie A,224
Guido Rodríguez,Betis,1. La Liga,225
Sebastian Andersson,Union Berlin,1. Bundesliga,226
Lucas Torró,Eint Frankfurt,1. Bundesliga,227
Mason Holgate,Everton,1. Premier League,228
Clément Lenglet,Barcelona,1. La Liga,229
Luke Shaw,Manchester Utd,1. Premier League,230
Emerson,Betis,1. La Liga,231
Ainsley Maitland-Niles,Arsenal,1. Premier League,232
Gaetano Castrovilli,Fiorentina,1. Serie A,233
Robin Gosens,Atalanta,1. Serie A,234
Davide Calabria,Milan,1. Serie A,235
Danilo,Juventus,1. Serie A,236
Rubén Sobrino,Valencia,1. La Liga,237
Mitchell Weiser,Leverkusen,1. Bundesliga,238
Paolo Ghiglione,Genoa,1. Serie A,239
Brais Méndez,Celta Vigo,1. La Liga,240
Stanislav Lobotka,Celta Vigo,1. La Liga,241
Lukas Kübler,Freiburg,1. Bundesliga,242
Tyler Adams,RB Leipzig,1. Bundesliga,243
Leander Dendoncker,Wolves,1. Premier League,244
Matteo Lovato,Hellas Verona,1. Serie A,245
Carles Aleñá,Barcelona,1. La Liga,246
Eduard Löwen,Hertha BSC,1. Bundesliga,247
Alfreð Finnbogason,Augsburg,1. Bundesliga,248
Sebastian Walukiewicz,Cagliari,1. Serie A,249
Marco Reus,Dortmund,1. Bundesliga,250
Aaron Cresswell,West Ham,1. Premier League,251
Maximilian Arnold,Wolfsburg,1. Bundesliga,252
Simone Verdi,Torino,1. Serie A,253
Gerard Deulofeu,Watford,1. Premier League,254
Jarrod Bowen,West Ham,1. Premier League,255
Riyad Mahrez,Manchester City,1. Premier League,256
Gianmarco Cangiano,Bologna,1. Serie A,257
Kelechi Iheanacho,Leicester City,1. Premier League,258
Benjamin Mendy,Manchester City,1. Premier League,259
Keinan Davis,Aston Villa,1. Premier League,260
Nathan Aké,Bournemouth,1. Premier League,261
Patric,Lazio,1. Serie A,262
Riccardo Gagliolo,Parma,1. Serie A,263
Joe Gomez,Liverpool,1. Premier League,264
Dedryck Boyata,Hertha BSC,1. Bundesliga,265
Florian Kainz,Köln,1. Bundesliga,266
Mark Uth,Köln,1. Bundesliga,267
Matt Ritchie,Newcastle Utd,1. Premier League,268
Adrien Rabiot,Juventus,1. Serie A,269
Joe Willock,Arsenal,1. Premier League,270
Arne Maier,Hertha BSC,1. Bundesliga,271
Darko Churlinov,Köln,1. Bundesliga,272
Jonny Evans,Leicester City,1. Premier League,273
Cristiano Piccini,Valencia,1. La Liga,274
João Félix,Atlético Madrid,1. La Liga,275
Mattias Svanberg,Bologna,1. Serie A,276
Matt Doherty,Wolves,1. Premier League,277
Alexander Isak,Real Sociedad,1. La Liga,278
Roberto Soriano,Bologna,1. Serie A,279
