playerPlaymakingAbilityId,birthId,organizationId,assists,touches,dribbles,pass_targets
502,424,0,0,467,12,401
504,424,0,1,467,12,401
40,499,1,1,205,11,267
70,83,1,0,1159,23,761
131,3,1,2,1579,50,1034
326,167,1,0,2261,3,1509
363,627,1,1,2313,13,1633
396,336,1,4,1404,48,1300
535,481,1,5,1447,101,1648
641,401,1,4,1098,19,924
739,80,1,1,316,8,389
741,80,1,1,316,8,389
770,113,1,2,1715,15,1222
823,568,1,2,1066,99,1106
1141,490,1,2,1325,10,832
203,252,2,0,1241,30,835
235,86,2,3,637,74,615
362,494,2,2,187,22,187
370,528,2,5,1410,44,1065
380,615,2,2,1374,54,1130
383,211,2,3,1868,22,1451
444,234,2,2,1338,10,1021
485,616,2,1,828,17,588
539,169,2,1,466,21,655
737,539,2,0,1220,8,925
776,88,2,5,947,117,1045
836,658,2,1,2298,16,1703
847,140,2,6,933,87,881
1056,676,2,0,235,37,230
1057,467,2,0,174,3,150
1067,60,2,0,0,0,4
1135,668,2,2,2137,14,1443
1157,428,2,6,1826,115,2046
47,606,3,1,1419,6,770
204,512,3,2,1032,63,1307
441,439,3,0,72,5,112
1130,671,3,2,947,42,1284
33,322,4,1,1906,36,1167
55,104,4,0,1058,0,514
157,198,4,0,1015,8,663
176,621,4,0,110,5,75
201,178,4,1,1236,3,862
216,334,4,0,247,4,141
372,270,4,0,992,54,782
374,270,4,8,992,54,782
414,32,4,0,1833,45,1120
446,109,4,1,1646,23,1055
479,407,4,2,1106,28,871
550,226,4,8,1934,46,1262
751,137,4,0,475,2,219
848,350,4,0,540,48,546
888,59,4,2,1098,66,1197
1046,150,4,0,29,2,22
1069,486,4,0,1789,8,1238
1133,133,4,2,818,19,994
871,275,5,1,881,48,1390
941,176,5,4,1135,23,1001
1072,294,5,2,1508,5,948
22,19,6,1,392,5,189
49,238,7,3,996,30,1198
63,233,6,1,952,7,512
79,154,7,5,1104,101,954
102,485,7,1,1518,15,954
150,348,6,1,122,5,158
164,465,7,2,1824,1,1149
253,74,6,0,130,10,173
388,571,6,1,50,5,21
392,509,6,2,1169,12,706
430,437,6,2,678,11,308
469,608,6,1,1045,120,985
475,305,6,0,365,19,296
477,305,6,1,365,19,296
517,218,7,3,1676,97,1959
579,453,6,0,135,0,69
600,468,6,1,130,4,128
602,468,6,0,130,4,128
