playerPlaymakingAbilityId,birthId,roleId,organizationId,assists,dribbles,sca,sca90,pass_targets,miscontrols,dispossessed,fouled
463,424,33,0,0,12,26,3.23,401,14,3,13
37,499,10,1,1,11,12,1.57,267,16,10,8
67,83,5,1,0,23,19,1.16,761,16,11,8
119,3,25,1,2,50,29,1.37,1034,23,24,24
304,167,35,1,0,3,16,0.44,1509,1,1,24
336,627,30,1,1,13,17,0.51,1633,4,9,11
364,336,55,1,4,48,60,2.33,1300,37,33,29
494,481,10,1,5,101,95,3.12,1648,95,47,58
591,401,2,1,4,19,63,3.67,924,15,16,39
676,80,10,1,1,8,16,1.56,389,17,7,12
702,113,73,1,2,15,25,0.85,1222,19,12,46
749,568,14,1,2,99,99,4.36,1106,71,47,58
1036,490,32,1,2,10,31,1.42,832,15,6,13
191,252,25,2,0,30,16,1.23,835,20,22,25
222,86,33,2,3,74,41,3.39,615,27,20,20
335,494,14,2,2,22,13,3.85,187,8,4,7
342,528,77,2,5,44,74,4.23,1065,21,26,22
348,615,31,2,2,54,89,4.31,1130,29,32,42
351,211,3,2,3,22,42,1.78,1451,19,21,46
409,234,84,2,2,10,32,1.61,1021,15,20,38
446,616,92,2,1,17,16,1.58,588,8,7,6
498,169,10,2,1,21,29,2.22,655,36,21,17
674,539,30,2,0,8,6,0.51,925,5,2,3
708,88,33,2,5,117,67,3.4,1045,52,58,22
762,658,35,2,1,16,12,0.52,1703,1,7,13
771,140,8,2,6,87,48,3.03,881,27,41,17
956,676,11,2,0,37,6,1.47,230,10,6,2
957,467,4,2,0,3,6,3.05,150,2,3,6
967,60,10,2,0,0,0,0.0,4,0,0,0
1031,668,19,2,2,14,30,1.42,1443,17,9,26
1050,428,33,2,6,115,117,4.29,2046,88,83,42
44,606,30,3,1,6,4,0.13,770,5,4,14
192,512,14,3,2,63,50,1.69,1307,83,55,75
406,439,10,3,0,5,3,1.16,112,10,4,8
1026,671,10,3,2,42,56,2.15,1284,75,61,62
30,322,25,4,1,36,67,2.13,1167,25,32,41
52,104,7,4,0,0,2,0.09,514,1,0,4
145,198,6,4,0,8,17,1.12,663,3,5,12
164,621,61,4,0,5,1,0.43,75,0,0,1
189,178,35,4,1,3,8,0.4,862,2,2,26
203,334,26,4,0,4,5,1.21,141,0,3,9
344,270,36,4,8,54,74,4.12,782,27,39,15
381,32,86,4,0,45,44,1.42,1120,22,34,39
411,109,30,4,1,23,18,0.67,1055,2,11,18
440,407,33,4,2,28,45,2.35,871,22,30,47
507,226,5,4,8,46,119,3.54,1262,33,35,26
684,137,7,4,0,2,0,0.0,219,0,0,0
772,350,14,4,0,48,31,2.4,546,28,32,40
810,59,14,4,2,66,67,2.43,1197,97,64,84
948,150,26,4,0,2,0,0.0,22,0,0,1
969,486,23,4,0,8,31,1.03,1238,7,13,20
1029,133,10,4,2,19,55,2.03,994,61,23,17
793,275,10,5,1,48,58,1.8,1390,105,55,47
859,176,53,5,4,23,67,2.92,1001,32,21,36
972,294,63,5,2,5,13,0.47,948,7,5,18
19,19,19,6,1,5,5,0.67,189,4,12,5
46,238,10,7,3,30,49,2.27,1198,60,48,41
60,233,35,6,1,7,10,0.55,512,0,3,6
74,154,40,7,5,101,57,3.15,954,27,48,40
94,485,35,7,1,15,13,0.47,954,5,8,17
138,348,10,6,1,5,7,1.72,158,12,8,13
152,465,6,7,2,1,7,0.22,1149,6,4,10
240,74,38,6,0,10,8,1.58,173,4,9,2
356,571,4,6,1,5,3,2.81,21,1,1,0
360,509,84,6,2,12,25,0.85,706,10,30,41
395,437,32,6,2,11,11,0.84,308,15,10,8
432,608,55,6,1,120,61,2.17,985,68,48,40
438,305,4,6,1,19,16,2.15,296,19,23,18
476,218,14,7,3,97,107,2.95,1959,69,70,76
534,453,26,6,0,0,3,0.72,69,3,0,6
552,468,16,6,0,4,9,2.67,128,4,1,4
594,105,7,7,0,0,1,0.03,371,0,0,6
719,499,6,7,0,2,2,0.12,530,5,1,22
725,299,36,7,1,6,15,4.17,178,4,6,3
809,105,110,7,2,42,36,2.19,806,39,30,40
815,454,32,7,1,12,28,1.28,951,17,12,27
825,42,53,6,0,12,16,2.05,318,23,23,10
861,69,10,6,6,72,72,2.38,1214,68,47,65
923,345,3,7,0,15,26,1.69,729,7,20,30
978,446,34,7,0,26,29,1.43,857,22,28,17
1002,329,3,6,1,5,11,1.12,244,2,3,7
1030,610,33,6,3,112,56,2.21,937,82,67,45
1032,576,10,6,1,11,32,2.98,465,27,19,10
4,504,2,8,0,44,50,2.17,989,28,24,16
5,382,8,9,6,74,65,2.84,917,79,61,48
7,446,11,9,3,33,27,1.78,534,19,31,22
61,551,38,8,1,50,27,1.7,734,32,37,20
68,578,3,8,1,15,17,0.76,963,6,8,22
73,446,10,9,2,33,55,2.36,1132,83,49,63
131,352,39,9,4,21,69,3.14,890,15,8,14
176,141,35,8,1,23,9,0.46,823,10,9,13
316,114,44,9,0,38,20,1.95,420,24,10,13
327,538,6,9,0,5,12,0.51,662,4,2,16
333,439,3,9,0,56,50,1.77,1371,20,15,45
347,446,83,9,5,29,94,3.14,1555,31,34,35
349,446,30,9,0,3,7,0.52,484,2,1,9
505,147,10,9,0,0,1,22.5,2,0,1,0
529,249,14,9,1,58,50,2.58,862,40,18,48
551,468,16,8,1,6,15,1.63,396,22,12,6
647,181,14,8,0,6,4,1.02,194,11,6,2
678,10,3,9,2,19,37,2.97,695,14,14,15
727,120,2,8,0,72,33,1.86,536,24,51,38
817,507,10,9,0,0,0,0.0,8,1,0,0
843,226,105,8,2,90,85,3.34,1048,58,63,46
844,611,5,8,5,70,69,2.06,1288,22,16,37
889,411,16,9,2,64,39,2.86,749,40,23,48
902,644,90,9,2,33,25,3.57,319,17,30,15
955,670,33,8,4,90,86,3.68,1205,59,76,74
971,224,19,8,0,8,19,2.19,293,11,5,18
980,622,19,9,2,30,31,1.16,927,25,32,47
1046,564,32,9,1,7,21,1.76,488,7,4,17
236,547,55,10,8,78,77,3.33,1113,50,40,34
262,31,16,10,3,27,29,4.2,407,18,19,11
270,122,10,10,5,44,64,1.9,1223,60,23,17
339,664,7,10,0,1,5,0.13,560,0,0,7
352,260,77,10,6,46,95,3.02,1773,32,51,61
415,443,84,10,1,30,39,1.31,1302,18,26,33
450,193,93,10,2,88,59,2.11,1560,32,55,44
474,33,11,10,1,13,12,1.21,429,5,9,11
493,578,33,10,4,68,72,3.23,1122,48,79,41
511,214,77,10,2,32,23,1.83,537,29,13,16
747,463,104,10,3,29,26,2.7,494,9,12,11
806,300,14,10,3,29,39,3.66,583,43,28,13
849,153,5,10,3,46,63,2.39,1634,35,37,32
983,275,38,10,3,83,168,5.76,1651,46,47,98
1027,339,6,10,1,10,23,0.61,1906,6,7,27
1038,380,4,10,1,3,15,5.06,153,4,2,5
65,660,4,11,0,24,18,1.36,635,10,9,12
97,413,2,11,1,35,29,1.79,763,15,25,23
102,430,19,11,7,43,104,3.09,1288,18,32,31
117,274,8,11,3,36,32,2.24,566,28,29,19
286,661,7,11,0,1,6,0.16,636,0,0,7
361,122,14,11,1,34,56,1.92,1396,107,39,48
417,462,43,11,0,1,0,0.0,56,0,5,2
423,443,16,11,0,40,44,2.48,698,29,30,7
427,130,6,11,1,5,15,0.59,1001,9,3,12
572,577,11,11,0,34,24,1.07,770,22,30,44
795,595,6,11,0,0,10,0.35,1064,3,3,7
836,379,6,11,3,12,18,0.79,774,2,4,23
1033,149,33,11,3,107,80,2.35,1507,90,99,79
174,323,36,12,8,36,66,6.44,571,25,26,39
206,487,69,12,7,27,78,3.52,1207,19,13,19
265,364,76,12,2,11,30,2.11,572,14,13,12
267,460,32,12,0,20,16,1.03,775,11,7,21
337,157,6,12,0,1,2,0.34,281,0,1,4
386,487,33,12,0,13,21,7.3,156,5,10,9
387,173,10,12,2,40,102,3.08,1593,72,69,27
408,194,3,12,4,62,55,2.46,1192,31,27,50
451,188,30,12,0,15,31,1.45,1173,5,6,30
539,135,11,12,0,0,2,2.65,31,0,2,0
596,142,4,12,0,0,0,0.0,13,0,1,0
623,8,17,12,6,19,57,3.26,724,15,10,22
741,205,2,12,2,21,42,5.23,514,12,14,19
768,599,87,12,4,18,42,3.19,547,10,8,22
828,492,3,12,2,16,58,2.9,935,17,21,29
833,482,7,12,0,0,0,0.0,43,0,0,3
840,89,59,12,3,13,23,0.73,1317,2,1,13
1014,643,10,12,3,83,94,3.45,1217,86,60,88
1040,72,6,12,1,13,25,1.38,914,8,5,16
28,232,6,13,0,4,8,0.33,854,7,1,38
34,439,26,13,0,0,0,0.0,48,0,0,1
38,624,24,13,0,26,16,1.43,419,8,11,13
128,12,3,13,1,9,20,2.58,332,2,3,8
175,163,64,13,0,35,24,2.0,408,7,13,4
350,158,43,13,0,15,32,1.61,841,7,9,35
477,79,14,13,3,89,105,4.16,1231,39,65,77
576,126,11,13,2,19,42,3.6,463,21,16,33
619,633,38,13,5,41,105,3.83,1388,26,33,49
