assists,dribbles,sca,sca90,pass_targets,miscontrols,dispossessed,fouled,fbrefId,playerFullName,ca,vis,ldr,pas,dri,agi,cnt,city,country,position,squad,comp,id
1,13,27,2.48,371,9,11,7,0000acda,Marco Benassi,137,13,13,14,11,13,14,Province of Modena,Italy,"MF (CM, right)",Fiorentina,1. Serie A,0
0,14,12,0.89,570,4,8,21,0076ab7f,Nemanja Gudelj,136,13,11,14,13,13,13,Belgrade,Serbia,MF (CM-DM),Sevilla,1. La Liga,1
0,9,2,0.49,131,5,7,6,009a4f60,Julian Ryerson,116,10,12,12,11,12,10,Lyngdal,Norway,DF-MF,Union Berlin,1. Bundesliga,2
1,26,62,2.04,1205,28,33,35,01226327,Ryan Bertrand,138,11,10,12,13,13,13,Southwark,England,"DF-MF (FB, left)",Southampton,1. Premier League,3
0,44,50,2.17,989,28,24,16,01c3aff5,Weston McKennie,150,12,13,15,11,13,12,Little Elm,Texas,MF (CM),Schalke 04,1. Bundesliga,4
6,74,65,2.84,917,79,61,48,01eb744d,Ángel Correa,154,15,10,16,16,16,12,Rosario,Argentina,"FW-MF (AM-WM, right)",Atlético Madrid,1. La Liga,5
3,37,68,2.23,1632,91,54,59,02319ad7,Jaime Mata,140,12,10,12,13,13,13,Madrid,Spain,FW,Getafe,1. La Liga,6
3,33,27,1.78,534,19,31,22,02c15616,Marcos Llorente,147,14,12,15,11,11,13,Madrid,Spain,MF,Atlético Madrid,1. La Liga,7
3,73,60,2.12,1018,31,27,48,02caf6e0,Manuel Lazzari,149,14,8,14,15,16,13,Valdagno,Italy,"DF-MF (WM, right)",Lazio,1. Serie A,8
2,11,15,0.66,610,5,6,35,0313a347,Ezri Konsa,128,14,8,13,11,14,12,London,England,"DF-FW (CB, right)",Aston Villa,1. Premier League,9
6,80,85,3.69,968,36,47,52,0375723e,Simone Verdi,143,15,8,14,15,15,11,Broni,Italy,FW-MF,Torino,1. Serie A,10
3,101,76,4.54,1057,33,44,34,042e8a49,Kingsley Coman,153,12,6,12,15,16,11,Paris,France,FW-MF (AM-WM),Bayern Munich,1. Bundesliga,11
0,17,19,2.51,416,28,24,14,0489bb30,Eddie Salcedo,118,11,7,11,14,14,11,Genoa,Italy,FW,Hellas Verona,1. Serie A,12
2,76,66,2.54,1884,28,32,21,048a1cbc,Raphaël Guerreiro,148,12,8,13,12,17,14,Le Blanc-Mesnil,France,"DF-MF (FB-WM, left)",Dortmund,1. Bundesliga,13
4,50,71,2.95,974,39,23,52,04965583,Aleix Vidal,138,10,9,13,13,12,13,Valls,Spain,"DF-MF (WM, right)",Alavés,1. La Liga,14
1,0,3,0.13,290,0,0,6,04ac8285,Jasper Cillessen,148,9,10,10,2,15,14,Gemeente Nijmegen,Netherlands,GK,Valencia,1. La Liga,15
0,14,6,0.68,345,24,18,13,04e17fd5,Youssef En-Nesyri,139,9,15,8,14,14,11,Fes-Medina,Morocco,FW,Sevilla,1. La Liga,16
2,35,24,1.56,744,42,26,22,04e17fd5,Youssef En-Nesyri,139,9,15,8,14,14,11,Fes-Medina,Morocco,FW,Leganés,1. La Liga,17
1,10,38,1.37,2099,9,4,7,05439de2,David Alaba,168,13,12,14,12,14,16,Vienna,Austria,"DF-MF (CB-CM-FB, left)",Bayern Munich,1. Bundesliga,18
1,5,5,0.67,189,4,12,5,054849d2,Iago,128,13,11,14,13,15,12,Monte Azul Paulista,Brazil,"DF (FB, left)",Augsburg,1. Bundesliga,19
8,33,78,2.45,815,19,17,24,056d2d95,Christopher Trimmel,118,8,13,10,9,10,14,Oberpullendorf,Austria,"DF-FW-MF (AM-FB-WM, right)",Union Berlin,1. Bundesliga,20
3,10,22,0.77,1818,7,9,11,05d548d8,Mats Hummels,166,14,13,15,12,10,15,Bergisch Gladbach,Germany,DF (CB),Dortmund,1. Bundesliga,21
1,44,72,2.23,1632,32,42,25,05e19d6a,Franck Kessié,150,11,9,12,13,13,12,Ouragahio,Côte d'Ivoire,DF-MF (CB-CM-DM),Milan,1. Serie A,22
0,11,4,1.42,89,6,8,6,05f99a4a,Jonathan Burkardt,115,10,6,10,13,15,8,Darmstadt,Germany,FW,Mainz 05,1. Bundesliga,23
2,135,98,3.3,1319,66,71,93,0728bebe,Gaetano Castrovilli,140,14,10,14,17,15,13,Canosa di Puglia,Italy,"MF (CM, left)",Fiorentina,1. Serie A,24
0,10,21,1.35,982,5,9,39,07767f42,Francesco Magnanelli,128,12,17,14,7,9,16,Umbertide,Italy,MF (CM-DM),Sassuolo,1. Serie A,25
2,94,91,2.92,1256,70,53,32,07802f7f,Danny Ings,150,14,14,13,14,14,14,Winchester,England,FW,Southampton,1. Premier League,26
1,22,28,0.93,1197,21,10,33,080440a4,Martin Hinteregger,134,13,12,14,9,8,11,Feldkirchen,Austria,DF-MF (CB),Eint Frankfurt,1. Bundesliga,27
0,4,8,0.33,854,7,1,38,0821331c,Mattia Bani,127,9,10,11,9,11,12,Borgo San Lorenzo,Italy,DF (CB),Bologna,1. Serie A,28
0,13,20,0.6,1813,8,3,29,08511d65,Sergio Ramos,172,13,19,16,13,15,10,Camas,Spain,"DF (CB-FB, left)",Real Madrid,1. La Liga,29
1,36,67,2.13,1167,25,32,41,088ca1bd,Jonathan Schmid,131,10,8,12,12,13,12,Strasbourg,France,"DF-MF (FB-WM, right)",Freiburg,1. Bundesliga,30
0,2,1,0.27,170,0,1,0,08990838,Denis Vavro,133,8,10,9,6,11,13,Žilina,Slovakia,DF (CB),Lazio,1. Serie A,31
1,44,43,1.73,1145,58,58,52,08aa9cd1,Andrea Pinamonti,128,11,10,12,11,13,9,Cles,Italy,FW,Genoa,1. Serie A,32
0,0,1,0.03,557,0,0,6,08f5afaa,Gianluigi Donnarumma,160,8,13,7,4,16,14,Castellammare di Stabia,Italy,GK,Milan,1. Serie A,33
0,0,0,0.0,48,0,0,1,091795f2,Gabriele Corbo,105,10,11,12,8,13,11,NULL,NULL,DF,Bologna,1. Serie A,34
1,40,54,1.89,1029,83,30,37,09538fdb,Kevin Lasagna,131,11,7,11,12,13,12,San Benedetto Po,Italy,FW,Udinese,1. Serie A,35
5,35,43,2.03,1135,29,17,12,0959c2a2,Federico Valverde,150,14,13,14,12,13,13,Montevideo,Uruguay,MF (CM),Real Madrid,1. La Liga,36
1,11,12,1.57,267,16,10,8,09a9e921,Carlos Bacca,135,13,13,12,12,13,14,Barranquilla,Colombia,FW,Villarreal,1. La Liga,37
0,26,16,1.43,419,8,11,13,0a3065c8,Mitchell Dijks,134,12,12,13,11,12,12,Gemeente Purmerend,Netherlands,"DF (CB-FB, left)",Bologna,1. Serie A,38
2,34,38,2.47,698,32,30,29,0a447501,Antonio Sanabria,127,13,9,10,14,15,9,San Lorenzo,Paraguay,FW,Genoa,1. Serie A,39
1,38,28,1.53,941,14,24,32,0a483542,Giorgos Kyriakopoulos,123,10,7,13,12,13,11,Pátrai,Greece,"DF (FB, left)",Sassuolo,1. Serie A,40
5,81,104,3.53,2102,22,29,87,0ab1f153,Juan Cuadrado,157,12,4,14,16,16,11,Bogotá,Colombia,"DF-FW-MF (AM-FB-WM, right)",Juventus,1. Serie A,41
2,28,21,2.04,446,19,13,17,0ac94a23,Denis Cheryshev,137,11,9,12,14,12,14,Nizhny Novgorod,Russia,"FW-MF (WM, left)",Valencia,1. La Liga,42
1,26,41,1.63,1022,63,26,36,0ae4e09a,Roger Martí,138,12,9,13,11,13,14,Torrent,Spain,FW,Levante,1. La Liga,43
1,6,4,0.13,770,5,4,14,0b33f6ad,Mohammed Salisu,115,8,6,10,2,11,9,Benin,Benin,"DF (CB, left)",Valladolid,1. La Liga,44
2,38,76,3.48,1675,13,14,59,0b5a292a,Mário Rui,141,12,9,12,14,15,13,Sines Municipality,Portugal,"DF-MF (FB, left)",Napoli,1. Serie A,45
3,30,49,2.27,1198,60,48,41,0b90bb97,Santi Mina,141,11,8,12,13,12,14,Vigo,Spain,FW,Celta Vigo,1. La Liga,46
1,56,38,3.33,702,34,22,22,0ba976e4,Ansu Fati,148,14,9,12,16,17,13,Bissau,Guinea-Bissau,FW,Barcelona,1. La Liga,47
0,10,11,2.37,180,18,7,9,0bc4e720,Manu Vallejo,133,12,10,12,13,15,12,Chiclana de la Frontera,Spain,FW-MF,Valencia,1. La Liga,48
6,82,66,2.92,955,60,54,30,0c61c77c,Dodi Lukebakio,138,12,4,12,15,14,8,Asse,Belgium,"FW-MF (AM-WM, right)",Hertha BSC,1. Bundesliga,49
2,14,25,2.43,675,8,23,16,0d077b88,Mehdi Bourabia,128,12,11,14,12,12,12,Dijon,France,MF,Sassuolo,1. Serie A,50
