id,player,games,minutes
0,Marco Benassi,18,980
1,Nemanja Gudelj,24,1216
2,Julian Ryerson,14,368
3,Ryan Bertrand,32,2742
4,Weston McKennie,28,2074
5,Ángel Correa,33,2061
6,Jaime Mata,34,2747
7,Marcos Llorente,29,1368
8,Manuel Lazzari,32,2548
9,Ezri Konsa,25,2039
10,Simone Verdi,33,2073
11,Kingsley Coman,24,1505
12,Eddie Salcedo,17,680
13,Raphaël Guerreiro,29,2335
14,Aleix Vidal,29,2165
15,Youssef En-Nesyri,18,796
16,Youssef En-Nesyri,18,1385
17,David Alaba,28,2498
18,Iago,10,674
19,Christopher Trimmel,32,2863
20,Mats Hummels,31,2581
21,Franck Kessié,35,2904
22,Jonathan Burkardt,8,253
23,Gaetano Castrovilli,33,2673
24,Francesco Magnanelli,22,1397
25,Danny Ings,38,2804
26,Martin Hinteregger,31,2721
27,Mattia Bani,27,2207
28,Sergio Ramos,35,3013
29,Jonathan Schmid,33,2836
30,Denis Vavro,11,328
31,Andrea Pinamonti,32,2236
32,Gianluigi Donnarumma,36,3201
33,Gabriele Corbo,2,122
34,Kevin Lasagna,36,2569
35,Federico Valverde,33,1907
36,Carlos Bacca,19,688
37,Mitchell Dijks,13,1006
38,Antonio Sanabria,24,1387
39,Giorgos Kyriakopoulos,26,1643
40,Juan Cuadrado,33,2654
41,Denis Cheryshev,24,926
42,Roger Martí,36,2267
43,Mohammed Salisu,31,2725
44,Mário Rui,24,1966
45,Santi Mina,34,1944
46,Ansu Fati,24,1027
47,Manu Vallejo,11,418
48,Dodi Lukebakio,30,2031
49,Mehdi Bourabia,17,925
50,Alexander Schwolow,24,2091
51,Alex Sandro,29,2385
52,Sandro Tonali,35,3014
53,Lucas Torró,7,331
54,Philippe Coutinho,23,1411
55,Dominik Kohr,26,1445
56,Claudio Bravo,4,347
57,Fernandinho,30,2397
58,Jeffrey Gouweleeuw,21,1645
59,Alessandro Schöpf,22,1432
60,Ethan Ampadu,3,81
61,Rogério,15,1015
62,Fabian Delph,16,1190
63,Aymeric Laporte,15,1097
64,Alberto Moreno,18,1471
65,Omar Mascarell,23,2026
66,Davie Selke,11,463
67,Davie Selke,19,960
68,Reece James,24,1515
69,Mert Müldür,24,1273
70,Álvaro Morata,34,2098
71,Denis Suárez,26,1630
72,Samu Castillejo,22,1209
73,Jérôme Roussillon,29,2364
74,Giuseppe Pezzella,1,80
75,Giuseppe Pezzella,22,949
76,Daniele Rugani,10,690
77,Daichi Kamada,28,1969
78,Luiz Felipe,26,2024
79,James Tarkowski,38,3420
80,Callum Hudson-Odoi,22,863
81,Rodrigo De Paul,34,2822
82,Bryan Cristante,26,1616
83,Takefusa Kubo,35,2312
84,Olivier Giroud,18,993
85,Riccardo Gagliolo,32,2604
86,David Timor,22,943
87,Ken Sema,32,2453
88,Diogo Jota,34,2284
89,Thibaut Courtois,34,3060
90,Cengiz Ünder,18,873
91,Joseph Aidoo,32,2502
92,Antonio Rüdiger,20,1710
93,Jannik Vestergaard,19,1497
94,André Gomes,19,1458
95,Timothy Castagne,27,1769
96,Rubén Sobrino,13,170
97,Rodrigo Becão,29,2213
98,Phil Bardsley,21,1890
99,Lucas Digne,35,3030
100,Frenkie de Jong,29,2115
101,Portu,35,2393
102,Christian Pulisic,25,1722
103,Declan Rice,38,3420
104,Roberto Piccoli,1,17
105,Andreas Christensen,21,1751
106,Paulo Otávio,5,380
107,Bosko Sutalo,7,280
108,Álvaro Odriozola,4,343
109,Álvaro Odriozola,3,152
110,Kevin Vogt,14,1105
111,Kevin Vogt,11,960
112,Marc Cucurella,37,3237
113,Jakub Jankto,30,2095
114,Theo Walcott,25,1287
115,Erik Pieters,24,1878
116,Rubén Peña,26,1909
117,Erling Haaland,15,1063
118,Rodrigo,27,1880
119,Melayro Bogarde,2,51
120,Rubén Duarte,31,2663
121,Mikel Balenziaga,9,563
122,Willi Orban,12,856
123,Ander Barrenetxea,17,442
124,Rafael Leão,31,1404
125,Nicolás Domínguez,16,699
126,Davide Calabria,25,1622
127,Kieran Trippier,25,1979
128,Sebastian Walukiewicz,14,1165
129,Lazar Samardzic,3,34
130,Harry Kane,29,2587
131,Aihen Muñoz,15,981
132,Amin Younes,9,176
133,Sargis Adamyan,15,746
134,Sergio Córdova,16,367
135,Giovanni Di Lorenzo,33,2970
136,Stefano Sturaro,16,1252
137,Dani García,36,3029
138,Ola Aina,32,2079
139,Ezequiel Ávila,20,1591
140,Moussa Djenepo,18,928
141,Manuel Gulde,17,1371
142,Ashley Barnes,19,1352
143,Walace,20,1139
144,Manuel Lanzini,24,1379
145,Marcus Ingvartsen,28,1716
146,Éder Militão,15,1022
147,Néstor Araujo,34,2888
148,Aaron Connolly,24,1258
149,Lewis Dunk,36,3230
150,Conor Coady,38,3420
151,Nacho,6,439
152,Nacho,6,439
153,Juan Mata,19,758
